USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Oak Oak-Leaf-2 dried         W1R1Fa AREF
copy of splib05a r 11774                                    
       0.350000       0.008961       0.000000
       0.351000       0.008961       0.000000
       0.352000       0.010222       0.000000
       0.353000       0.011460       0.000000
       0.354000       0.012650       0.000000
       0.355000       0.013778       0.000000
       0.356000       0.014864       0.000000
       0.357000       0.015938       0.000000
       0.358000       0.017030       0.000000
       0.359000       0.018167       0.000000
       0.360000       0.019379       0.000000
       0.361000       0.020669       0.000000
       0.362000       0.021946       0.000000
       0.363000       0.023091       0.000000
       0.364000       0.024028       0.000000
       0.365000       0.024826       0.000000
       0.366000       0.025597       0.000000
       0.367000       0.026419       0.000000
       0.368000       0.027249       0.000000
       0.369000       0.028014       0.000000
       0.370000       0.028657       0.000000
       0.371000       0.029201       0.000000
       0.372000       0.029685       0.000000
       0.373000       0.030143       0.000000
       0.374000       0.030579       0.000000
       0.375000       0.030991       0.000000
       0.376000       0.031380       0.000000
       0.377000       0.031762       0.000000
       0.378000       0.032152       0.000000
       0.379000       0.032561       0.000000
       0.380000       0.032968       0.000000
       0.381000       0.033345       0.000000
       0.382000       0.033679       0.000000
       0.383000       0.034011       0.000000
       0.384000       0.034398       0.000000
       0.385000       0.034880       0.000000
       0.386000       0.035427       0.000000
       0.387000       0.035993       0.000000
       0.388000       0.036545       0.000000
       0.389000       0.037106       0.000000
       0.390000       0.037710       0.000000
       0.391000       0.038384       0.000000
       0.392000       0.039116       0.000000
       0.393000       0.039884       0.000000
       0.394000       0.040673       0.000000
       0.395000       0.041496       0.000000
       0.396000       0.042370       0.000000
       0.397000       0.043308       0.000000
       0.398000       0.044290       0.000000
       0.399000       0.045293       0.000000
       0.400000       0.046294       0.000000
       0.401000       0.047288       0.000000
       0.402000       0.048271       0.000000
       0.403000       0.049243       0.000000
       0.404000       0.050215       0.000000
       0.405000       0.051199       0.000000
       0.406000       0.052205       0.000000
       0.407000       0.053223       0.000000
       0.408000       0.054239       0.000000
       0.409000       0.055244       0.000000
       0.410000       0.056248       0.000000
       0.411000       0.057270       0.000000
       0.412000       0.058319       0.000000
       0.413000       0.059383       0.000000
       0.414000       0.060442       0.000000
       0.415000       0.061483       0.000000
       0.416000       0.062523       0.000000
       0.417000       0.063583       0.000000
       0.418000       0.064682       0.000000
       0.419000       0.065817       0.000000
       0.420000       0.066979       0.000000
       0.421000       0.068160       0.000000
       0.422000       0.069347       0.000000
       0.423000       0.070529       0.000000
       0.424000       0.071697       0.000000
       0.425000       0.072854       0.000000
       0.426000       0.074007       0.000000
       0.427000       0.075160       0.000000
       0.428000       0.076306       0.000000
       0.429000       0.077437       0.000000
       0.430000       0.078544       0.000000
       0.431000       0.079631       0.000000
       0.432000       0.080700       0.000000
       0.433000       0.081752       0.000000
       0.434000       0.082781       0.000000
       0.435000       0.083777       0.000000
       0.436000       0.084734       0.000000
       0.437000       0.085665       0.000000
       0.438000       0.086587       0.000000
       0.439000       0.087509       0.000000
       0.440000       0.088422       0.000000
       0.441000       0.089305       0.000000
       0.442000       0.090147       0.000000
       0.443000       0.090958       0.000000
       0.444000       0.091754       0.000000
       0.445000       0.092546       0.000000
       0.446000       0.093333       0.000000
       0.447000       0.094111       0.000000
       0.448000       0.094875       0.000000
       0.449000       0.095618       0.000000
       0.450000       0.096330       0.000000
       0.451000       0.097004       0.000000
       0.452000       0.097639       0.000000
       0.453000       0.098231       0.000000
       0.454000       0.098782       0.000000
       0.455000       0.099294       0.000000
       0.456000       0.099774       0.000000
       0.457000       0.100224       0.000000
       0.458000       0.100645       0.000000
       0.459000       0.101036       0.000000
       0.460000       0.101397       0.000000
       0.461000       0.101733       0.000000
       0.462000       0.102048       0.000000
       0.463000       0.102348       0.000000
       0.464000       0.102638       0.000000
       0.465000       0.102920       0.000000
       0.466000       0.103200       0.000000
       0.467000       0.103475       0.000000
       0.468000       0.103746       0.000000
       0.469000       0.104012       0.000000
       0.470000       0.104274       0.000000
       0.471000       0.104535       0.000000
       0.472000       0.104797       0.000000
       0.473000       0.105060       0.000000
       0.474000       0.105327       0.000000
       0.475000       0.105596       0.000000
       0.476000       0.105862       0.000000
       0.477000       0.106118       0.000000
       0.478000       0.106360       0.000000
       0.479000       0.106597       0.000000
       0.480000       0.106841       0.000000
       0.481000       0.107100       0.000000
       0.482000       0.107372       0.000000
       0.483000       0.107650       0.000000
       0.484000       0.107929       0.000000
       0.485000       0.108216       0.000000
       0.486000       0.108517       0.000000
       0.487000       0.108841       0.000000
       0.488000       0.109198       0.000000
       0.489000       0.109598       0.000000
       0.490000       0.110049       0.000000
       0.491000       0.110545       0.000000
       0.492000       0.111080       0.000000
       0.493000       0.111647       0.000000
       0.494000       0.112253       0.000000
       0.495000       0.112909       0.000000
       0.496000       0.113623       0.000000
       0.497000       0.114396       0.000000
       0.498000       0.115227       0.000000
       0.499000       0.116118       0.000000
       0.500000       0.117069       0.000000
       0.501000       0.118084       0.000000
       0.502000       0.119164       0.000000
       0.503000       0.120318       0.000000
       0.504000       0.121553       0.000000
       0.505000       0.122873       0.000000
       0.506000       0.124280       0.000000
       0.507000       0.125770       0.000000
       0.508000       0.127344       0.000000
       0.509000       0.129009       0.000000
       0.510000       0.130775       0.000000
       0.511000       0.132648       0.000000
       0.512000       0.134631       0.000000
       0.513000       0.136725       0.000000
       0.514000       0.138928       0.000000
       0.515000       0.141239       0.000000
       0.516000       0.143652       0.000000
       0.517000       0.146162       0.000000
       0.518000       0.148751       0.000000
       0.519000       0.151400       0.000000
       0.520000       0.154088       0.000000
       0.521000       0.156790       0.000000
       0.522000       0.159481       0.000000
       0.523000       0.162134       0.000000
       0.524000       0.164721       0.000000
       0.525000       0.167214       0.000000
       0.526000       0.169588       0.000000
       0.527000       0.171821       0.000000
       0.528000       0.173894       0.000000
       0.529000       0.175790       0.000000
       0.530000       0.177498       0.000000
       0.531000       0.179006       0.000000
       0.532000       0.180311       0.000000
       0.533000       0.181421       0.000000
       0.534000       0.182351       0.000000
       0.535000       0.183118       0.000000
       0.536000       0.183756       0.000000
       0.537000       0.184302       0.000000
       0.538000       0.184793       0.000000
       0.539000       0.185270       0.000000
       0.540000       0.185776       0.000000
       0.541000       0.186346       0.000000
       0.542000       0.186997       0.000000
       0.543000       0.187739       0.000000
       0.544000       0.188577       0.000000
       0.545000       0.189495       0.000000
       0.546000       0.190472       0.000000
       0.547000       0.191489       0.000000
       0.548000       0.192519       0.000000
       0.549000       0.193540       0.000000
       0.550000       0.194527       0.000000
       0.551000       0.195454       0.000000
       0.552000       0.196294       0.000000
       0.553000       0.197025       0.000000
       0.554000       0.197633       0.000000
       0.555000       0.198107       0.000000
       0.556000       0.198441       0.000000
       0.557000       0.198629       0.000000
       0.558000       0.198669       0.000000
       0.559000       0.198559       0.000000
       0.560000       0.198293       0.000000
       0.561000       0.197867       0.000000
       0.562000       0.197279       0.000000
       0.563000       0.196539       0.000000
       0.564000       0.195663       0.000000
       0.565000       0.194666       0.000000
       0.566000       0.193563       0.000000
       0.567000       0.192367       0.000000
       0.568000       0.191094       0.000000
       0.569000       0.189762       0.000000
       0.570000       0.188389       0.000000
       0.571000       0.186992       0.000000
       0.572000       0.185592       0.000000
       0.573000       0.184207       0.000000
       0.574000       0.182856       0.000000
       0.575000       0.181549       0.000000
       0.576000       0.180294       0.000000
       0.577000       0.179101       0.000000
       0.578000       0.177973       0.000000
       0.579000       0.176915       0.000000
       0.580000       0.175930       0.000000
       0.581000       0.175015       0.000000
       0.582000       0.174165       0.000000
       0.583000       0.173373       0.000000
       0.584000       0.172635       0.000000
       0.585000       0.171942       0.000000
       0.586000       0.171290       0.000000
       0.587000       0.170681       0.000000
       0.588000       0.170116       0.000000
       0.589000       0.169596       0.000000
       0.590000       0.169117       0.000000
       0.591000       0.168670       0.000000
       0.592000       0.168249       0.000000
       0.593000       0.167845       0.000000
       0.594000       0.167452       0.000000
       0.595000       0.167061       0.000000
       0.596000       0.166661       0.000000
       0.597000       0.166238       0.000000
       0.598000       0.165781       0.000000
       0.599000       0.165277       0.000000
       0.600000       0.164715       0.000000
       0.601000       0.164084       0.000000
       0.602000       0.163388       0.000000
       0.603000       0.162631       0.000000
       0.604000       0.161818       0.000000
       0.605000       0.160959       0.000000
       0.606000       0.160062       0.000000
       0.607000       0.159136       0.000000
       0.608000       0.158191       0.000000
       0.609000       0.157237       0.000000
       0.610000       0.156284       0.000000
       0.611000       0.155343       0.000000
       0.612000       0.154427       0.000000
       0.613000       0.153546       0.000000
       0.614000       0.152705       0.000000
       0.615000       0.151909       0.000000
       0.616000       0.151161       0.000000
       0.617000       0.150466       0.000000
       0.618000       0.149829       0.000000
       0.619000       0.149252       0.000000
       0.620000       0.148740       0.000000
       0.621000       0.148294       0.000000
       0.622000       0.147916       0.000000
       0.623000       0.147604       0.000000
       0.624000       0.147356       0.000000
       0.625000       0.147165       0.000000
       0.626000       0.147022       0.000000
       0.627000       0.146913       0.000000
       0.628000       0.146827       0.000000
       0.629000       0.146760       0.000000
       0.630000       0.146711       0.000000
       0.631000       0.146675       0.000000
       0.632000       0.146637       0.000000
       0.633000       0.146582       0.000000
       0.634000       0.146491       0.000000
       0.635000       0.146343       0.000000
       0.636000       0.146118       0.000000
       0.637000       0.145796       0.000000
       0.638000       0.145368       0.000000
       0.639000       0.144828       0.000000
       0.640000       0.144172       0.000000
       0.641000       0.143404       0.000000
       0.642000       0.142534       0.000000
       0.643000       0.141570       0.000000
       0.644000       0.140536       0.000000
       0.645000       0.139454       0.000000
       0.646000       0.138347       0.000000
       0.647000       0.137228       0.000000
       0.648000       0.136109       0.000000
       0.649000       0.135000       0.000000
       0.650000       0.133903       0.000000
       0.651000       0.132816       0.000000
       0.652000       0.131737       0.000000
       0.653000       0.130653       0.000000
       0.654000       0.129552       0.000000
       0.655000       0.128422       0.000000
       0.656000       0.127257       0.000000
       0.657000       0.126051       0.000000
       0.658000       0.124804       0.000000
       0.659000       0.123526       0.000000
       0.660000       0.122233       0.000000
       0.661000       0.120941       0.000000
       0.662000       0.119673       0.000000
       0.663000       0.118456       0.000000
       0.664000       0.117312       0.000000
       0.665000       0.116257       0.000000
       0.666000       0.115302       0.000000
       0.667000       0.114461       0.000000
       0.668000       0.113742       0.000000
       0.669000       0.113153       0.000000
       0.670000       0.112700       0.000000
       0.671000       0.112384       0.000000
       0.672000       0.112201       0.000000
       0.673000       0.112147       0.000000
       0.674000       0.112220       0.000000
       0.675000       0.112414       0.000000
       0.676000       0.112726       0.000000
       0.677000       0.113154       0.000000
       0.678000       0.113695       0.000000
       0.679000       0.114353       0.000000
       0.680000       0.115143       0.000000
       0.681000       0.116085       0.000000
       0.682000       0.117201       0.000000
       0.683000       0.118518       0.000000
       0.684000       0.120067       0.000000
       0.685000       0.121881       0.000000
       0.686000       0.124012       0.000000
       0.687000       0.126514       0.000000
       0.688000       0.129444       0.000000
       0.689000       0.132855       0.000000
       0.690000       0.136801       0.000000
       0.691000       0.141336       0.000000
       0.692000       0.146512       0.000000
       0.693000       0.152384       0.000000
       0.694000       0.159001       0.000000
       0.695000       0.166397       0.000000
       0.696000       0.174605       0.000000
       0.697000       0.183647       0.000000
       0.698000       0.193494       0.000000
       0.699000       0.204111       0.000000
       0.700000       0.215452       0.000000
       0.701000       0.227448       0.000000
       0.702000       0.240017       0.000000
       0.703000       0.253075       0.000000
       0.704000       0.266497       0.000000
       0.705000       0.280155       0.000000
       0.706000       0.293924       0.000000
       0.707000       0.307700       0.000000
       0.708000       0.321384       0.000000
       0.709000       0.334883       0.000000
       0.710000       0.348128       0.000000
       0.711000       0.361058       0.000000
       0.712000       0.373616       0.000000
       0.713000       0.385773       0.000000
       0.714000       0.397504       0.000000
       0.715000       0.408789       0.000000
       0.716000       0.419625       0.000000
       0.717000       0.430013       0.000000
       0.718000       0.439955       0.000000
       0.719000       0.449468       0.000000
       0.720000       0.458573       0.000000
       0.721000       0.467290       0.000000
       0.722000       0.475636       0.000000
       0.723000       0.483631       0.000000
       0.724000       0.491291       0.000000
       0.725000       0.498626       0.000000
       0.726000       0.505648       0.000000
       0.727000       0.512368       0.000000
       0.728000       0.518794       0.000000
       0.729000       0.524938       0.000000
       0.730000       0.530810       0.000000
       0.731000       0.536429       0.000000
       0.732000       0.541816       0.000000
       0.733000       0.546988       0.000000
       0.734000       0.551948       0.000000
       0.735000       0.556697       0.000000
       0.736000       0.561237       0.000000
       0.737000       0.565589       0.000000
       0.738000       0.569773       0.000000
       0.739000       0.573806       0.000000
       0.740000       0.577688       0.000000
       0.741000       0.581407       0.000000
       0.742000       0.584963       0.000000
       0.743000       0.588367       0.000000
       0.744000       0.591636       0.000000
       0.745000       0.594787       0.000000
       0.746000       0.597821       0.000000
       0.747000       0.600739       0.000000
       0.748000       0.603540       0.000000
       0.749000       0.606223       0.000000
       0.750000       0.608789       0.000000
       0.751000       0.611237       0.000000
       0.752000       0.613577       0.000000
       0.753000       0.615820       0.000000
       0.754000       0.617976       0.000000
       0.755000       0.620045       0.000000
       0.756000       0.622024       0.000000
       0.757000       0.623913       0.000000
       0.758000       0.625712       0.000000
       0.759000       0.627424       0.000000
       0.760000       0.629054       0.000000
       0.761000       0.630609       0.000000
       0.762000       0.632100       0.000000
       0.763000       0.633532       0.000000
       0.764000       0.634907       0.000000
       0.765000       0.636221       0.000000
       0.766000       0.637473       0.000000
       0.767000       0.638669       0.000000
       0.768000       0.639813       0.000000
       0.769000       0.640912       0.000000
       0.770000       0.641966       0.000000
       0.771000       0.642980       0.000000
       0.772000       0.643956       0.000000
       0.773000       0.644897       0.000000
       0.774000       0.645810       0.000000
       0.775000       0.646698       0.000000
       0.776000       0.647560       0.000000
       0.777000       0.648394       0.000000
       0.778000       0.649198       0.000000
       0.779000       0.649976       0.000000
       0.780000       0.650731       0.000000
       0.781000       0.651467       0.000000
       0.782000       0.652185       0.000000
       0.783000       0.652884       0.000000
       0.784000       0.653564       0.000000
       0.785000       0.654224       0.000000
       0.786000       0.654862       0.000000
       0.787000       0.655478       0.000000
       0.788000       0.656078       0.000000
       0.789000       0.656670       0.000000
       0.790000       0.657261       0.000000
       0.791000       0.657848       0.000000
       0.792000       0.658427       0.000000
       0.793000       0.658994       0.000000
       0.794000       0.659550       0.000000
       0.795000       0.660100       0.000000
       0.796000       0.660644       0.000000
       0.797000       0.661179       0.000000
       0.798000       0.661696       0.000000
       0.799000       0.662195       0.000000
       0.800000       0.662684       0.000000
       0.801000       0.663175       0.000000
       0.802000       0.663678       0.000000
       0.803000       0.664189       0.000000
       0.804000       0.664704       0.000000
       0.805000       0.665216       0.000000
