USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Rabbitbrush ANP92-27         W1R1Ba AREF
copy of splib05a r 11803                                    
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.000000
       0.221100      -1.23e34        0.000000
       0.229100      -1.23e34        0.000000
       0.236100      -1.23e34        0.000000
       0.242100      -1.23e34        0.000000
       0.248100      -1.23e34        0.000000
       0.253600      -1.23e34        0.000000
       0.258600      -1.23e34        0.000000
       0.263600      -1.23e34        0.000000
       0.268600      -1.23e34        0.000000
       0.273100      -1.23e34        0.000000
       0.277100      -1.23e34        0.000000
       0.281100      -1.23e34        0.000000
       0.285100      -1.23e34        0.000000
       0.289100      -1.23e34        0.000000
       0.293100      -1.23e34        0.000000
       0.297100      -1.23e34        0.000000
       0.301100       0.037495       0.001158
       0.305100       0.039603       0.001138
       0.309100       0.040910       0.000683
       0.313100       0.042513       0.000761
       0.317100       0.044205       0.000579
       0.321100       0.045474       0.000805
       0.325100       0.047187       0.000609
       0.329100       0.048609       0.000829
       0.333100       0.050989       0.000775
       0.337100       0.051783       0.000627
       0.341100       0.054104       0.000614
       0.345100       0.056188       0.000745
       0.349100       0.057584       0.000599
       0.353100       0.059282       0.000632
       0.357100       0.061773       0.000782
       0.360600       0.062773       0.000835
       0.363600       0.064879       0.000884
       0.366600       0.065228       0.000560
       0.369600       0.066181       0.000895
       0.372600       0.066520       0.000633
       0.375600       0.067729       0.000626
       0.378600       0.069054       0.000904
       0.381100       0.069974       0.000591
       0.383100       0.070477       0.001099
       0.385100       0.071009       0.000715
       0.387100       0.071522       0.000533
       0.389100       0.072964       0.000702
       0.391100       0.072585       0.000584
       0.393100       0.073395       0.000488
       0.395100       0.074208       0.000594
       0.397100       0.075106       0.000734
       0.399100       0.075499       0.000891
       0.401100       0.076978       0.000933
       0.403100       0.077497       0.000618
       0.405100       0.078528       0.000581
       0.407100       0.079525       0.000532
       0.409100       0.080473       0.000572
       0.411100       0.081567       0.000768
       0.412800       0.082449       0.000907
       0.415800       0.084019       0.000678
       0.418800       0.086184       0.000559
       0.421800       0.087653       0.000705
       0.424800       0.090039       0.000601
       0.427800       0.091810       0.000545
       0.430800       0.093536       0.000666
       0.433800       0.095540       0.000502
       0.436800       0.096895       0.000602
       0.439800       0.098817       0.000492
       0.442800       0.100366       0.001253
       0.445800       0.101274       0.001279
       0.448800       0.102878       0.001116
       0.451300       0.103364       0.000739
       0.453300       0.104637       0.000814
       0.455300       0.105527       0.000754
       0.457300       0.105787       0.001188
       0.459300       0.107061       0.001260
       0.461300       0.107968       0.000733
       0.463300       0.107592       0.000705
       0.465300       0.107727       0.000730
       0.467300       0.108101       0.001137
       0.469300       0.108655       0.000724
       0.471300       0.108978       0.000927
       0.473300       0.109350       0.000744
       0.475300       0.108850       0.000800
       0.477300       0.110181       0.000705
       0.479300       0.109865       0.000654
       0.481300       0.110093       0.000731
       0.483300       0.109976       0.000821
       0.485300       0.110613       0.000810
       0.487300       0.110259       0.000779
       0.489300       0.111183       0.001239
       0.491300       0.113194       0.000598
       0.493300       0.112623       0.000865
       0.495300       0.114066       0.000804
       0.497300       0.114658       0.000873
       0.499300       0.115941       0.000775
       0.501300       0.117311       0.000709
       0.503300       0.118786       0.000833
       0.505300       0.120646       0.001086
       0.507300       0.123256       0.000718
       0.509300       0.124987       0.000764
       0.511300       0.127814       0.000685
       0.513300       0.132486       0.000754
       0.515300       0.134488       0.000733
       0.517300       0.139045       0.000852
       0.519300       0.143190       0.000959
       0.521300       0.146655       0.000770
       0.523300       0.152132       0.000721
       0.525300       0.156902       0.000825
       0.527300       0.160559       0.000685
       0.529300       0.164059       0.000826
       0.531300       0.167422       0.000764
       0.533300       0.170857       0.001207
       0.535300       0.172009       0.000767
       0.537300       0.174117       0.000711
       0.539300       0.175530       0.001219
       0.541300       0.176899       0.000741
       0.543300       0.177679       0.001125
       0.545300       0.178528       0.000851
       0.547300       0.179050       0.000741
       0.549300       0.180661       0.000711
       0.551300       0.181820       0.000661
       0.553300       0.182085       0.001134
       0.555300       0.182815       0.000683
       0.557300       0.183294       0.000994
       0.559300       0.181995       0.001241
       0.561300       0.181423       0.000747
       0.563300       0.180258       0.000682
       0.565300       0.179409       0.000700
       0.567300       0.176786       0.000882
       0.569300       0.175825       0.001061
       0.571300       0.172248       0.000718
       0.573300       0.170678       0.000705
       0.575300       0.168110       0.000738
       0.577300       0.164937       0.000752
       0.579300       0.163481       0.001219
       0.581300       0.162428       0.000795
       0.583300       0.160057       0.000893
       0.585300       0.160219       0.000865
       0.587300       0.158648       0.000912
       0.589300       0.157640       0.000835
       0.591300       0.157645       0.000682
       0.593300       0.158043       0.001231
       0.595300       0.156419       0.000801
       0.597300       0.156722       0.000879
       0.599300       0.156190       0.001238
       0.601100       0.155375       0.001241
       0.602700       0.157505       0.000921
       0.604300       0.155475       0.001006
       0.605900       0.156295       0.000762
       0.607500       0.154598       0.001236
       0.609100       0.154191       0.000720
       0.610700       0.151544       0.000960
       0.612300       0.150630       0.000676
       0.613900       0.149875       0.000780
       0.615500       0.148215       0.000824
       0.617100       0.147997       0.001227
       0.618700       0.146503       0.000809
       0.620300       0.146325       0.001186
       0.621900       0.144878       0.000729
       0.623500       0.144288       0.001134
       0.625100       0.143293       0.000805
       0.626700       0.144213       0.001204
       0.628300       0.143335       0.000740
       0.629900       0.143202       0.000644
       0.631700       0.143188       0.000746
       0.633700       0.142479       0.000675
       0.635700       0.142324       0.000693
       0.637700       0.141601       0.000702
       0.639700       0.140873       0.000715
       0.641700       0.139595       0.000748
       0.643700       0.138372       0.000819
       0.645700       0.137387       0.001194
       0.647700       0.137249       0.000583
       0.649700       0.134651       0.001004
       0.651700       0.134207       0.000848
       0.653700       0.133013       0.000994
       0.655700       0.131365       0.000898
       0.657700       0.131908       0.000621
       0.659700       0.129667       0.000541
       0.661700       0.128142       0.000787
       0.663700       0.127262       0.000643
       0.665700       0.125908       0.000776
       0.667700       0.124986       0.001211
       0.670200       0.123805       0.000595
       0.673200       0.123104       0.000643
       0.676200       0.123567       0.000788
       0.679200       0.122527       0.000773
       0.682200       0.123039       0.000874
       0.685200       0.126010       0.001213
       0.688200       0.129350       0.001124
       0.691200       0.137544       0.001170
       0.694200       0.148822       0.001224
       0.697200       0.164875       0.001220
       0.700200       0.184205       0.000862
       0.702000       0.195797       0.000703
       0.704000       0.209801       0.000615
       0.706000       0.222923       0.000672
       0.708000       0.237833       0.000756
       0.710000       0.250372       0.000719
       0.712000       0.265188       0.001181
       0.714000       0.280235       0.000725
       0.716000       0.293643       0.000938
       0.718000       0.309526       0.000868
       0.720000       0.323633       0.000914
       0.722000       0.339204       0.000827
       0.724000       0.354195       0.000876
       0.726000       0.366766       0.000621
       0.728000       0.379166       0.000632
       0.730000       0.392127       0.000694
       0.732000       0.403193       0.000547
       0.734000       0.413833       0.000563
       0.736000       0.423019       0.000624
       0.738000       0.431214       0.001207
       0.740000       0.438673       0.000836
       0.742000       0.445718       0.000687
       0.744000       0.451325       0.000671
       0.746000       0.456201       0.000653
       0.748000       0.460224       0.000863
       0.750500       0.465712       0.000729
       0.753500       0.469593       0.001018
       0.756500       0.474269       0.000635
       0.759500       0.477788       0.000686
       0.762500       0.479404       0.000616
       0.765500       0.482427       0.000642
       0.768500       0.484429       0.000750
       0.771500       0.487711       0.000777
       0.774500       0.489325       0.000770
       0.777500       0.492062       0.000631
       0.781000       0.493331       0.000706
       0.785000       0.495088       0.000651
       0.789000       0.497971       0.001082
       0.793000       0.501419       0.000885
       0.797000       0.501994       0.000799
       0.801500       0.504684       0.000972
       0.806500       0.507511       0.000630
       0.811500       0.509489       0.000870
       0.816500       0.512407       0.000676
       0.822000       0.514309       0.000783
       0.828000       0.516541       0.000790
       0.835000       0.519660       0.001026
       0.843000       0.521752       0.000681
       0.851000       0.522943       0.001689
       0.859000       0.522100       0.001326
       0.871000       0.526267       0.001304
       0.883000       0.532729       0.001324
       0.894000       0.542580       0.000941
       0.904000       0.549924       0.001274
       0.914000       0.552917       0.001066
       0.924000       0.560691       0.001155
       0.933000       0.563844       0.001189
       0.941000       0.559503       0.001313
       0.949000       0.553896       0.001220
       0.957000       0.548023       0.001331
       0.964000       0.543482       0.001269
       0.970000       0.537552       0.001201
       0.976000       0.540926       0.001282
       0.982000       0.540627       0.001104
       0.988000       0.543543       0.000752
       0.994000       0.545339       0.000904
       1.000000       0.547128       0.000925
       1.006000       0.551346       0.000904
       1.012000       0.554572       0.001325
       1.018000       0.558146       0.001310
       1.023500       0.564201       0.001300
       1.028500       0.567798       0.001272
       1.033500       0.570916       0.001272
       1.038500       0.574009       0.001310
       1.043500       0.576746       0.001177
       1.048500       0.578752       0.001114
       1.053500       0.581557       0.001267
       1.058500       0.583974       0.001088
       1.063500       0.587543       0.001082
       1.068500       0.586465       0.001324
       1.073500       0.585184       0.001145
       1.078500       0.586931       0.000756
       1.083500       0.585969       0.001312
       1.088500       0.585954       0.000924
       1.093500       0.585949       0.001039
       1.098500       0.581541       0.001100
       1.103500       0.580176       0.001102
       1.108500       0.577887       0.001278
       1.113500       0.576319       0.000688
       1.118500       0.573312       0.000677
       1.123500       0.571287       0.000848
       1.128500       0.564109       0.001169
       1.133500       0.553517       0.000664
       1.138500       0.538987       0.000946
       1.143500       0.520566       0.000842
       1.148500       0.504926       0.001305
       1.153500       0.494542       0.001227
       1.158500       0.486087       0.001161
       1.163500       0.478602       0.000842
       1.168500       0.476456       0.001058
       1.173500       0.476038       0.000939
       1.178500       0.471777       0.001288
       1.183500       0.469345       0.001281
       1.188500       0.467410       0.001205
       1.193500       0.467313       0.001246
       1.198500       0.466150       0.001222
       1.203500       0.467383       0.000766
       1.208500       0.468406       0.000647
       1.213500       0.473820       0.001051
       1.218500       0.470694       0.000891
       1.223500       0.475947       0.001193
       1.228500       0.480230       0.000872
       1.233500       0.482278       0.000848
       1.238500       0.482354       0.001096
       1.243500       0.486097       0.001263
       1.248500       0.489387       0.001317
       1.253500       0.490535       0.001075
       1.258500       0.491209       0.001034
       1.263500       0.492933       0.000786
       1.268500       0.492371       0.001042
       1.273500       0.490775       0.000900
       1.278500       0.491784       0.000821
       1.283500       0.490584       0.000878
       1.288500       0.487606       0.000868
       1.293500       0.485153       0.001204
       1.298500       0.481724       0.000866
       1.303500       0.478725       0.000864
       1.308500       0.469828       0.000929
       1.313500       0.461561       0.001036
       1.318500       0.453668       0.001174
       1.323500       0.442983       0.000716
       1.328500       0.433218       0.001269
       1.333500       0.419904       0.000932
       1.338500       0.408211       0.001004
       1.343500       0.398513       0.001095
       1.348500       0.387580       0.001265
       1.353500       0.381529       0.001285
       1.358500       0.371468       0.000953
       1.363500       0.364352       0.001202
       1.368500       0.353148       0.001306
       1.373500       0.341693       0.001304
       1.378500       0.323082       0.001040
       1.383500       0.299578       0.001122
       1.388500       0.273557       0.001313
       1.393500       0.243767       0.001292
       1.398500       0.220200       0.001301
       1.403500       0.196492       0.001310
       1.408500       0.179419       0.001263
       1.413500       0.167822       0.001293
       1.418500       0.163374       0.001269
       1.423500       0.157645       0.001191
       1.428500       0.151493       0.001071
       1.433500       0.150597       0.001037
       1.438500       0.148911       0.001285
       1.443500       0.145902       0.001275
       1.448500       0.144547       0.001298
       1.453500       0.145478       0.001170
       1.458500       0.143817       0.001238
       1.463500       0.146639       0.001298
       1.468500       0.148363       0.001288
       1.473500       0.149808       0.001281
       1.478500       0.151841       0.001241
       1.483500       0.155513       0.000997
       1.488500       0.160241       0.001259
       1.493500       0.164573       0.001280
       1.498500       0.168256       0.001253
       1.503500       0.169558       0.001212
       1.508500       0.176777       0.001304
       1.513500       0.179228       0.001298
       1.518500       0.187087       0.001286
       1.523500       0.191765       0.001313
       1.528500       0.194990       0.001113
       1.534000       0.201950       0.000964
       1.540000       0.207444       0.000954
       1.546000       0.214687       0.001300
       1.552000       0.218514       0.001032
       1.558000       0.225357       0.001303
       1.564000       0.229117       0.000833
       1.570500       0.237185       0.001203
       1.577500       0.241076       0.000915
       1.584500       0.246094       0.000858
       1.591500       0.253041       0.001211
       1.598500       0.256501       0.001134
       1.605500       0.260957       0.001212
       1.612500       0.264818       0.001082
       1.619500       0.270532       0.001011
       1.626500       0.270664       0.001262
       1.633500       0.273128       0.001048
       1.640500       0.276113       0.001268
       1.647500       0.278972       0.001015
       1.654500       0.278924       0.001311
       1.661500       0.280757       0.001265
       1.668500       0.276318       0.001130
       1.676000       0.276173       0.000772
       1.684000       0.275114       0.001289
       1.692000       0.270999       0.001310
       1.700000       0.270239       0.001317
       1.708000       0.262806       0.001310
       1.716000       0.260650       0.001294
       1.724000       0.255422       0.001290
       1.732000       0.252719       0.001242
       1.740000       0.255001       0.001319
       1.748000       0.248444       0.001306
       1.756000       0.242576       0.001299
       1.764000       0.240858       0.001282
       1.772000       0.236918       0.001286
       1.780000       0.234150       0.001306
       1.788000       0.233554       0.001299
       1.796000       0.233566       0.001308
       1.805000       0.233561       0.001135
       1.815000       0.234844       0.001050
       1.825000       0.234403       0.001299
       1.835000       0.233716       0.000639
       1.845000       0.227592       0.001299
       1.855000       0.215755       0.001275
       1.865000       0.193453       0.001214
       1.875000       0.159857       0.001281
       1.885000       0.127157       0.001266
       1.895000       0.102675       0.001304
       1.905000       0.088024       0.001267
       1.915000       0.084926       0.001301
       1.925000       0.080068       0.001278
       1.935000       0.079439       0.001311
       1.945000       0.078826       0.001298
       1.955000       0.083416       0.001298
       1.965000       0.084235       0.001307
       1.975000       0.088061       0.001292
       1.985000       0.090812       0.001290
       1.995000       0.092762       0.001310
       2.005000       0.097716       0.001309
       2.015000       0.100229       0.001299
       2.025000       0.102723       0.001294
       2.035000       0.108122       0.001304
       2.045000       0.108619       0.001295
       2.055000       0.113922       0.001286
       2.065000       0.115111       0.001297
       2.075000       0.119215       0.001298
       2.085000       0.120368       0.001290
       2.095000       0.120932       0.001290
       2.105000       0.124944       0.001288
       2.115000       0.125958       0.001285
       2.125000       0.131980       0.001286
       2.135000       0.134250       0.001286
       2.145000       0.135046       0.001290
       2.155000       0.139967       0.001294
       2.165000       0.140164       0.001299
       2.175000       0.142776       0.001292
       2.185000       0.143523       0.001300
       2.195000       0.147824       0.001308
       2.205000       0.147412       0.001305
       2.215000       0.144922       0.001307
       2.225000       0.143745       0.001312
       2.235000       0.139541       0.001361
       2.245000       0.134683       0.001572
       2.255000       0.130459       0.001773
       2.265000       0.125336       0.002219
       2.275000       0.124601       0.002988
       2.285000       0.118000       0.004070
       2.295000       0.115860       0.005398
       2.305000       0.111820       0.005390
       2.315000       0.111419       0.003525
       2.325000       0.108072       0.001840
