USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Rangeland C03-005 S25% G24%  W1R1Fa AREF
copy of spd0419 r 800                                       
       0.350000      -1.23e34       -1.23e34 
       0.351000      -1.23e34       -1.23e34 
       0.352000      -1.23e34       -1.23e34 
       0.353000      -1.23e34       -1.23e34 
       0.354000      -1.23e34       -1.23e34 
       0.355000      -1.23e34       -1.23e34 
       0.356000       0.042087       0.000000
       0.357000       0.042208       0.000000
       0.358000       0.042289       0.000000
       0.359000       0.042334       0.000000
       0.360000       0.042438       0.000000
       0.361000       0.042607       0.000000
       0.362000       0.042787       0.000000
       0.363000       0.042865       0.000000
       0.364000       0.043042       0.000000
       0.365000       0.043176       0.000000
       0.366000       0.043161       0.000000
       0.367000       0.043289       0.000000
       0.368000       0.043478       0.000000
       0.369000       0.043724       0.000000
       0.370000       0.043793       0.000000
       0.371000       0.044002       0.000000
       0.372000       0.044290       0.000000
       0.373000       0.044338       0.000000
       0.374000       0.044485       0.000000
       0.375000       0.044698       0.000000
       0.376000       0.044973       0.000000
       0.377000       0.045200       0.000000
       0.378000       0.045435       0.000000
       0.379000       0.045701       0.000000
       0.380000       0.045900       0.000000
       0.381000       0.046106       0.000000
       0.382000       0.046327       0.000000
       0.383000       0.046587       0.000000
       0.384000       0.046890       0.000000
       0.385000       0.047219       0.000000
       0.386000       0.047529       0.000000
       0.387000       0.047827       0.000000
       0.388000       0.048112       0.000000
       0.389000       0.048385       0.000000
       0.390000       0.048706       0.000000
       0.391000       0.048977       0.000000
       0.392000       0.049172       0.000000
       0.393000       0.049581       0.000000
       0.394000       0.049875       0.000000
       0.395000       0.050081       0.000000
       0.396000       0.050370       0.000000
       0.397000       0.050658       0.000000
       0.398000       0.050929       0.000000
       0.399000       0.051179       0.000000
       0.400000       0.051424       0.000000
       0.401000       0.051656       0.000000
       0.402000       0.051875       0.000000
       0.403000       0.052144       0.000000
       0.404000       0.052411       0.000000
       0.405000       0.052680       0.000000
       0.406000       0.052997       0.000000
       0.407000       0.053304       0.000000
       0.408000       0.053602       0.000000
       0.409000       0.053900       0.000000
       0.410000       0.054160       0.000000
       0.411000       0.054408       0.000000
       0.412000       0.054668       0.000000
       0.413000       0.054971       0.000000
       0.414000       0.055262       0.000000
       0.415000       0.055530       0.000000
       0.416000       0.055807       0.000000
       0.417000       0.056099       0.000000
       0.418000       0.056404       0.000000
       0.419000       0.056718       0.000000
       0.420000       0.057003       0.000000
       0.421000       0.057277       0.000000
       0.422000       0.057563       0.000000
       0.423000       0.057851       0.000000
       0.424000       0.058143       0.000000
       0.425000       0.058448       0.000000
       0.426000       0.058736       0.000000
       0.427000       0.059028       0.000000
       0.428000       0.059324       0.000000
       0.429000       0.059651       0.000000
       0.430000       0.059966       0.000000
       0.431000       0.060272       0.000000
       0.432000       0.060581       0.000000
       0.433000       0.060878       0.000000
       0.434000       0.061158       0.000000
       0.435000       0.061416       0.000000
       0.436000       0.061726       0.000000
       0.437000       0.062039       0.000000
       0.438000       0.062346       0.000000
       0.439000       0.062631       0.000000
       0.440000       0.062906       0.000000
       0.441000       0.063174       0.000000
       0.442000       0.063447       0.000000
       0.443000       0.063740       0.000000
       0.444000       0.064035       0.000000
       0.445000       0.064306       0.000000
       0.446000       0.064581       0.000000
       0.447000       0.064855       0.000000
       0.448000       0.065128       0.000000
       0.449000       0.065400       0.000000
       0.450000       0.065673       0.000000
       0.451000       0.065948       0.000000
       0.452000       0.066215       0.000000
       0.453000       0.066472       0.000000
       0.454000       0.066720       0.000000
       0.455000       0.066956       0.000000
       0.456000       0.067184       0.000000
       0.457000       0.067416       0.000000
       0.458000       0.067672       0.000000
       0.459000       0.067904       0.000000
       0.460000       0.068118       0.000000
       0.461000       0.068312       0.000000
       0.462000       0.068521       0.000000
       0.463000       0.068724       0.000000
       0.464000       0.068918       0.000000
       0.465000       0.069097       0.000000
       0.466000       0.069296       0.000000
       0.467000       0.069501       0.000000
       0.468000       0.069679       0.000000
       0.469000       0.069859       0.000000
       0.470000       0.070036       0.000000
       0.471000       0.070203       0.000000
       0.472000       0.070388       0.000000
       0.473000       0.070577       0.000000
       0.474000       0.070769       0.000000
       0.475000       0.070930       0.000000
       0.476000       0.071101       0.000000
       0.477000       0.071277       0.000000
       0.478000       0.071447       0.000000
       0.479000       0.071635       0.000000
       0.480000       0.071829       0.000000
       0.481000       0.072013       0.000000
       0.482000       0.072180       0.000000
       0.483000       0.072358       0.000000
       0.484000       0.072562       0.000000
       0.485000       0.072742       0.000000
       0.486000       0.072951       0.000000
       0.487000       0.073185       0.000000
       0.488000       0.073382       0.000000
       0.489000       0.073590       0.000000
       0.490000       0.073798       0.000000
       0.491000       0.073997       0.000000
       0.492000       0.074220       0.000000
       0.493000       0.074452       0.000000
       0.494000       0.074689       0.000000
       0.495000       0.074932       0.000000
       0.496000       0.075171       0.000000
       0.497000       0.075403       0.000000
       0.498000       0.075643       0.000000
       0.499000       0.075899       0.000000
       0.500000       0.076165       0.000000
       0.501000       0.076408       0.000000
       0.502000       0.076681       0.000000
       0.503000       0.076968       0.000000
       0.504000       0.077253       0.000000
       0.505000       0.077524       0.000000
       0.506000       0.077798       0.000000
       0.507000       0.078086       0.000000
       0.508000       0.078374       0.000000
       0.509000       0.078678       0.000000
       0.510000       0.078997       0.000000
       0.511000       0.079293       0.000000
       0.512000       0.079608       0.000000
       0.513000       0.079936       0.000000
       0.514000       0.080277       0.000000
       0.515000       0.080616       0.000000
       0.516000       0.080964       0.000000
       0.517000       0.081332       0.000000
       0.518000       0.081703       0.000000
       0.519000       0.082067       0.000000
       0.520000       0.082417       0.000000
       0.521000       0.082819       0.000000
       0.522000       0.083201       0.000000
       0.523000       0.083572       0.000000
       0.524000       0.083974       0.000000
       0.525000       0.084354       0.000000
       0.526000       0.084720       0.000000
       0.527000       0.085083       0.000000
       0.528000       0.085467       0.000000
       0.529000       0.085839       0.000000
       0.530000       0.086180       0.000000
       0.531000       0.086533       0.000000
       0.532000       0.086892       0.000000
       0.533000       0.087256       0.000000
       0.534000       0.087594       0.000000
       0.535000       0.087929       0.000000
       0.536000       0.088260       0.000000
       0.537000       0.088581       0.000000
       0.538000       0.088923       0.000000
       0.539000       0.089255       0.000000
       0.540000       0.089545       0.000000
       0.541000       0.089871       0.000000
       0.542000       0.090199       0.000000
       0.543000       0.090520       0.000000
       0.544000       0.090842       0.000000
       0.545000       0.091171       0.000000
       0.546000       0.091502       0.000000
       0.547000       0.091795       0.000000
       0.548000       0.092110       0.000000
       0.549000       0.092428       0.000000
       0.550000       0.092714       0.000000
       0.551000       0.093035       0.000000
       0.552000       0.093352       0.000000
       0.553000       0.093644       0.000000
       0.554000       0.093941       0.000000
       0.555000       0.094227       0.000000
       0.556000       0.094501       0.000000
       0.557000       0.094778       0.000000
       0.558000       0.095050       0.000000
       0.559000       0.095317       0.000000
       0.560000       0.095581       0.000000
       0.561000       0.095834       0.000000
       0.562000       0.096081       0.000000
       0.563000       0.096333       0.000000
       0.564000       0.096576       0.000000
       0.565000       0.096818       0.000000
       0.566000       0.097063       0.000000
       0.567000       0.097285       0.000000
       0.568000       0.097497       0.000000
       0.569000       0.097700       0.000000
       0.570000       0.097923       0.000000
       0.571000       0.098138       0.000000
       0.572000       0.098350       0.000000
       0.573000       0.098570       0.000000
       0.574000       0.098793       0.000000
       0.575000       0.099009       0.000000
       0.576000       0.099207       0.000000
       0.577000       0.099430       0.000000
       0.578000       0.099657       0.000000
       0.579000       0.099882       0.000000
       0.580000       0.100106       0.000000
       0.581000       0.100349       0.000000
       0.582000       0.100600       0.000000
       0.583000       0.100810       0.000000
       0.584000       0.101040       0.000000
       0.585000       0.101272       0.000000
       0.586000       0.101486       0.000000
       0.587000       0.101705       0.000000
       0.588000       0.101929       0.000000
       0.589000       0.102157       0.000000
       0.590000       0.102375       0.000000
       0.591000       0.102609       0.000000
       0.592000       0.102857       0.000000
       0.593000       0.103106       0.000000
       0.594000       0.103343       0.000000
       0.595000       0.103579       0.000000
       0.596000       0.103825       0.000000
       0.597000       0.104059       0.000000
       0.598000       0.104291       0.000000
       0.599000       0.104526       0.000000
       0.600000       0.104748       0.000000
       0.601000       0.104954       0.000000
       0.602000       0.105139       0.000000
       0.603000       0.105347       0.000000
       0.604000       0.105548       0.000000
       0.605000       0.105742       0.000000
       0.606000       0.105919       0.000000
       0.607000       0.106098       0.000000
       0.608000       0.106268       0.000000
       0.609000       0.106401       0.000000
       0.610000       0.106579       0.000000
       0.611000       0.106749       0.000000
       0.612000       0.106884       0.000000
       0.613000       0.107015       0.000000
       0.614000       0.107160       0.000000
       0.615000       0.107320       0.000000
       0.616000       0.107485       0.000000
       0.617000       0.107659       0.000000
       0.618000       0.107831       0.000000
       0.619000       0.107976       0.000000
       0.620000       0.108135       0.000000
       0.621000       0.108305       0.000000
       0.622000       0.108488       0.000000
       0.623000       0.108671       0.000000
       0.624000       0.108858       0.000000
       0.625000       0.109052       0.000000
       0.626000       0.109251       0.000000
       0.627000       0.109467       0.000000
       0.628000       0.109697       0.000000
       0.629000       0.109925       0.000000
       0.630000       0.110145       0.000000
       0.631000       0.110360       0.000000
       0.632000       0.110575       0.000000
       0.633000       0.110771       0.000000
       0.634000       0.110965       0.000000
       0.635000       0.111165       0.000000
       0.636000       0.111331       0.000000
       0.637000       0.111491       0.000000
       0.638000       0.111648       0.000000
       0.639000       0.111812       0.000000
       0.640000       0.111957       0.000000
       0.641000       0.112092       0.000000
       0.642000       0.112236       0.000000
       0.643000       0.112379       0.000000
       0.644000       0.112509       0.000000
       0.645000       0.112613       0.000000
       0.646000       0.112727       0.000000
       0.647000       0.112843       0.000000
       0.648000       0.112962       0.000000
       0.649000       0.113089       0.000000
       0.650000       0.113241       0.000000
       0.651000       0.113413       0.000000
       0.652000       0.113579       0.000000
       0.653000       0.113732       0.000000
       0.654000       0.113879       0.000000
       0.655000       0.114016       0.000000
       0.656000       0.114116       0.000000
       0.657000       0.114219       0.000000
       0.658000       0.114347       0.000000
       0.659000       0.114468       0.000000
       0.660000       0.114582       0.000000
       0.661000       0.114692       0.000000
       0.662000       0.114789       0.000000
       0.663000       0.114903       0.000000
       0.664000       0.115024       0.000000
       0.665000       0.115135       0.000000
       0.666000       0.115262       0.000000
       0.667000       0.115397       0.000000
       0.668000       0.115534       0.000000
       0.669000       0.115662       0.000000
       0.670000       0.115806       0.000000
       0.671000       0.115973       0.000000
       0.672000       0.116140       0.000000
       0.673000       0.116316       0.000000
       0.674000       0.116499       0.000000
       0.675000       0.116660       0.000000
       0.676000       0.116837       0.000000
       0.677000       0.117031       0.000000
       0.678000       0.117259       0.000000
       0.679000       0.117481       0.000000
       0.680000       0.117705       0.000000
       0.681000       0.117936       0.000000
       0.682000       0.118220       0.000000
       0.683000       0.118512       0.000000
       0.684000       0.118812       0.000000
       0.685000       0.119180       0.000000
       0.686000       0.119569       0.000000
       0.687000       0.119980       0.000000
       0.688000       0.120416       0.000000
       0.689000       0.120922       0.000000
       0.690000       0.121448       0.000000
       0.691000       0.121975       0.000000
       0.692000       0.122572       0.000000
       0.693000       0.123199       0.000000
       0.694000       0.123854       0.000000
       0.695000       0.124567       0.000000
       0.696000       0.125300       0.000000
       0.697000       0.126050       0.000000
       0.698000       0.126778       0.000000
       0.699000       0.127548       0.000000
       0.700000       0.128343       0.000000
       0.701000       0.129137       0.000000
       0.702000       0.129942       0.000000
       0.703000       0.130731       0.000000
       0.704000       0.131494       0.000000
       0.705000       0.132262       0.000000
       0.706000       0.133046       0.000000
       0.707000       0.133848       0.000000
       0.708000       0.134629       0.000000
       0.709000       0.135407       0.000000
       0.710000       0.136180       0.000000
       0.711000       0.136945       0.000000
       0.712000       0.137729       0.000000
       0.713000       0.138508       0.000000
       0.714000       0.139256       0.000000
       0.715000       0.139973       0.000000
       0.716000       0.140688       0.000000
       0.717000       0.141406       0.000000
       0.718000       0.142148       0.000000
       0.719000       0.142947       0.000000
       0.720000       0.143749       0.000000
       0.721000       0.144483       0.000000
       0.722000       0.145211       0.000000
       0.723000       0.145944       0.000000
       0.724000       0.146614       0.000000
       0.725000       0.147291       0.000000
       0.726000       0.147960       0.000000
       0.727000       0.148620       0.000000
       0.728000       0.149284       0.000000
       0.729000       0.149939       0.000000
       0.730000       0.150574       0.000000
       0.731000       0.151195       0.000000
       0.732000       0.151786       0.000000
       0.733000       0.152353       0.000000
       0.734000       0.152912       0.000000
       0.735000       0.153430       0.000000
       0.736000       0.153923       0.000000
       0.737000       0.154398       0.000000
       0.738000       0.154863       0.000000
       0.739000       0.155306       0.000000
       0.740000       0.155717       0.000000
       0.741000       0.156135       0.000000
       0.742000       0.156543       0.000000
       0.743000       0.156935       0.000000
       0.744000       0.157285       0.000000
       0.745000       0.157635       0.000000
       0.746000       0.157981       0.000000
       0.747000       0.158307       0.000000
       0.748000       0.158618       0.000000
       0.749000       0.158914       0.000000
       0.750000       0.159186       0.000000
       0.751000       0.159476       0.000000
       0.752000       0.159754       0.000000
       0.753000       0.160013       0.000000
       0.754000       0.160257       0.000000
       0.755000       0.160509       0.000000
       0.756000       0.160764       0.000000
       0.757000       0.161003       0.000000
       0.758000       0.161152       0.000000
       0.759000      -1.23e34       -1.23e34 
       0.760000      -1.23e34       -1.23e34 
       0.761000      -1.23e34       -1.23e34 
       0.762000      -1.23e34       -1.23e34 
       0.763000       0.162018       0.000000
       0.764000       0.162267       0.000000
       0.765000       0.162506       0.000000
       0.766000       0.162738       0.000000
       0.767000       0.163007       0.000000
       0.768000       0.163248       0.000000
       0.769000       0.163474       0.000000
       0.770000       0.163669       0.000000
       0.771000       0.163884       0.000000
       0.772000       0.164089       0.000000
       0.773000       0.164259       0.000000
       0.774000       0.164422       0.000000
       0.775000       0.164593       0.000000
       0.776000       0.164773       0.000000
       0.777000       0.164948       0.000000
       0.778000       0.165126       0.000000
       0.779000       0.165305       0.000000
       0.780000       0.165478       0.000000
       0.781000       0.165653       0.000000
       0.782000       0.165827       0.000000
       0.783000       0.165986       0.000000
       0.784000       0.166169       0.000000
       0.785000       0.166344       0.000000
       0.786000       0.166491       0.000000
       0.787000       0.166644       0.000000
       0.788000       0.166811       0.000000
       0.789000       0.166991       0.000000
       0.790000       0.167161       0.000000
       0.791000       0.167332       0.000000
       0.792000       0.167507       0.000000
       0.793000       0.167690       0.000000
       0.794000       0.167829       0.000000
       0.795000       0.167968       0.000000
       0.796000       0.168151       0.000000
       0.797000       0.168289       0.000000
       0.798000       0.168441       0.000000
       0.799000       0.168625       0.000000
       0.800000       0.168784       0.000000
       0.801000       0.168937       0.000000
       0.802000       0.169088       0.000000
