USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Rangeland L04-072 S30% G21%  W1R1Fa AREF
copy of spd0419 r 763                                       
       0.350000      -1.23e34       -1.23e34 
       0.351000      -1.23e34       -1.23e34 
       0.352000      -1.23e34       -1.23e34 
       0.353000      -1.23e34       -1.23e34 
       0.354000      -1.23e34       -1.23e34 
       0.355000      -1.23e34       -1.23e34 
       0.356000       0.027237       0.000000
       0.357000       0.027451       0.000000
       0.358000       0.027572       0.000000
       0.359000       0.027455       0.000000
       0.360000       0.027457       0.000000
       0.361000       0.027547       0.000000
       0.362000       0.027733       0.000000
       0.363000       0.027765       0.000000
       0.364000       0.027718       0.000000
       0.365000       0.027623       0.000000
       0.366000       0.027803       0.000000
       0.367000       0.028025       0.000000
       0.368000       0.028207       0.000000
       0.369000       0.028162       0.000000
       0.370000       0.028376       0.000000
       0.371000       0.028687       0.000000
       0.372000       0.029049       0.000000
       0.373000       0.029165       0.000000
       0.374000       0.029208       0.000000
       0.375000       0.029232       0.000000
       0.376000       0.029497       0.000000
       0.377000       0.029848       0.000000
       0.378000       0.030116       0.000000
       0.379000       0.030048       0.000000
       0.380000       0.030203       0.000000
       0.381000       0.030483       0.000000
       0.382000       0.030868       0.000000
       0.383000       0.030905       0.000000
       0.384000       0.030952       0.000000
       0.385000       0.031085       0.000000
       0.386000       0.031581       0.000000
       0.387000       0.031790       0.000000
       0.388000       0.031895       0.000000
       0.389000       0.031965       0.000000
       0.390000       0.032181       0.000000
       0.391000       0.032542       0.000000
       0.392000       0.032978       0.000000
       0.393000       0.033002       0.000000
       0.394000       0.033128       0.000000
       0.395000       0.033387       0.000000
       0.396000       0.033890       0.000000
       0.397000       0.034191       0.000000
       0.398000       0.034360       0.000000
       0.399000       0.034415       0.000000
       0.400000       0.034779       0.000000
       0.401000       0.035102       0.000000
       0.402000       0.035339       0.000000
       0.403000       0.035283       0.000000
       0.404000       0.035515       0.000000
       0.405000       0.035825       0.000000
       0.406000       0.036099       0.000000
       0.407000       0.036369       0.000000
       0.408000       0.036555       0.000000
       0.409000       0.036673       0.000000
       0.410000       0.037078       0.000000
       0.411000       0.037358       0.000000
       0.412000       0.037558       0.000000
       0.413000       0.037726       0.000000
       0.414000       0.038049       0.000000
       0.415000       0.038408       0.000000
       0.416000       0.038764       0.000000
       0.417000       0.038947       0.000000
       0.418000       0.039187       0.000000
       0.419000       0.039487       0.000000
       0.420000       0.039846       0.000000
       0.421000       0.040071       0.000000
       0.422000       0.040269       0.000000
       0.423000       0.040552       0.000000
       0.424000       0.040929       0.000000
       0.425000       0.041266       0.000000
       0.426000       0.041529       0.000000
       0.427000       0.041653       0.000000
       0.428000       0.041959       0.000000
       0.429000       0.042357       0.000000
       0.430000       0.042649       0.000000
       0.431000       0.042940       0.000000
       0.432000       0.043210       0.000000
       0.433000       0.043450       0.000000
       0.434000       0.043825       0.000000
       0.435000       0.044109       0.000000
       0.436000       0.044301       0.000000
       0.437000       0.044567       0.000000
       0.438000       0.044846       0.000000
       0.439000       0.045127       0.000000
       0.440000       0.045409       0.000000
       0.441000       0.045645       0.000000
       0.442000       0.045891       0.000000
       0.443000       0.046168       0.000000
       0.444000       0.046444       0.000000
       0.445000       0.046677       0.000000
       0.446000       0.046883       0.000000
       0.447000       0.047123       0.000000
       0.448000       0.047327       0.000000
       0.449000       0.047540       0.000000
       0.450000       0.047808       0.000000
       0.451000       0.048013       0.000000
       0.452000       0.048208       0.000000
       0.453000       0.048403       0.000000
       0.454000       0.048628       0.000000
       0.455000       0.048824       0.000000
       0.456000       0.048993       0.000000
       0.457000       0.049123       0.000000
       0.458000       0.049339       0.000000
       0.459000       0.049568       0.000000
       0.460000       0.049779       0.000000
       0.461000       0.049934       0.000000
       0.462000       0.050091       0.000000
       0.463000       0.050258       0.000000
       0.464000       0.050460       0.000000
       0.465000       0.050600       0.000000
       0.466000       0.050712       0.000000
       0.467000       0.050825       0.000000
       0.468000       0.051058       0.000000
       0.469000       0.051266       0.000000
       0.470000       0.051411       0.000000
       0.471000       0.051484       0.000000
       0.472000       0.051621       0.000000
       0.473000       0.051801       0.000000
       0.474000       0.051980       0.000000
       0.475000       0.052071       0.000000
       0.476000       0.052176       0.000000
       0.477000       0.052367       0.000000
       0.478000       0.052591       0.000000
       0.479000       0.052725       0.000000
       0.480000       0.052768       0.000000
       0.481000       0.052877       0.000000
       0.482000       0.053068       0.000000
       0.483000       0.053277       0.000000
       0.484000       0.053394       0.000000
       0.485000       0.053503       0.000000
       0.486000       0.053665       0.000000
       0.487000       0.053910       0.000000
       0.488000       0.054114       0.000000
       0.489000       0.054251       0.000000
       0.490000       0.054351       0.000000
       0.491000       0.054574       0.000000
       0.492000       0.054778       0.000000
       0.493000       0.054954       0.000000
       0.494000       0.055088       0.000000
       0.495000       0.055282       0.000000
       0.496000       0.055497       0.000000
       0.497000       0.055726       0.000000
       0.498000       0.055942       0.000000
       0.499000       0.056116       0.000000
       0.500000       0.056287       0.000000
       0.501000       0.056543       0.000000
       0.502000       0.056804       0.000000
       0.503000       0.057059       0.000000
       0.504000       0.057299       0.000000
       0.505000       0.057582       0.000000
       0.506000       0.057893       0.000000
       0.507000       0.058224       0.000000
       0.508000       0.058539       0.000000
       0.509000       0.058829       0.000000
       0.510000       0.059137       0.000000
       0.511000       0.059530       0.000000
       0.512000       0.059886       0.000000
       0.513000       0.060243       0.000000
       0.514000       0.060616       0.000000
       0.515000       0.061032       0.000000
       0.516000       0.061474       0.000000
       0.517000       0.061926       0.000000
       0.518000       0.062323       0.000000
       0.519000       0.062787       0.000000
       0.520000       0.063274       0.000000
       0.521000       0.063764       0.000000
       0.522000       0.064278       0.000000
       0.523000       0.064742       0.000000
       0.524000       0.065166       0.000000
       0.525000       0.065671       0.000000
       0.526000       0.066158       0.000000
       0.527000       0.066620       0.000000
       0.528000       0.067034       0.000000
       0.529000       0.067487       0.000000
       0.530000       0.067962       0.000000
       0.531000       0.068456       0.000000
       0.532000       0.068865       0.000000
       0.533000       0.069239       0.000000
       0.534000       0.069598       0.000000
       0.535000       0.070011       0.000000
       0.536000       0.070378       0.000000
       0.537000       0.070718       0.000000
       0.538000       0.071043       0.000000
       0.539000       0.071370       0.000000
       0.540000       0.071713       0.000000
       0.541000       0.072069       0.000000
       0.542000       0.072338       0.000000
       0.543000       0.072627       0.000000
       0.544000       0.072922       0.000000
       0.545000       0.073206       0.000000
       0.546000       0.073495       0.000000
       0.547000       0.073770       0.000000
       0.548000       0.074017       0.000000
       0.549000       0.074291       0.000000
       0.550000       0.074571       0.000000
       0.551000       0.074849       0.000000
       0.552000       0.075083       0.000000
       0.553000       0.075301       0.000000
       0.554000       0.075511       0.000000
       0.555000       0.075720       0.000000
       0.556000       0.075925       0.000000
       0.557000       0.076086       0.000000
       0.558000       0.076185       0.000000
       0.559000       0.076370       0.000000
       0.560000       0.076510       0.000000
       0.561000       0.076610       0.000000
       0.562000       0.076688       0.000000
       0.563000       0.076739       0.000000
       0.564000       0.076804       0.000000
       0.565000       0.076922       0.000000
       0.566000       0.076951       0.000000
       0.567000       0.076955       0.000000
       0.568000       0.076946       0.000000
       0.569000       0.076962       0.000000
       0.570000       0.076976       0.000000
       0.571000       0.076960       0.000000
       0.572000       0.076844       0.000000
       0.573000       0.076816       0.000000
       0.574000       0.076822       0.000000
       0.575000       0.076847       0.000000
       0.576000       0.076787       0.000000
       0.577000       0.076759       0.000000
       0.578000       0.076764       0.000000
       0.579000       0.076787       0.000000
       0.580000       0.076770       0.000000
       0.581000       0.076735       0.000000
       0.582000       0.076703       0.000000
       0.583000       0.076777       0.000000
       0.584000       0.076841       0.000000
       0.585000       0.076869       0.000000
       0.586000       0.076872       0.000000
       0.587000       0.076909       0.000000
       0.588000       0.076973       0.000000
       0.589000       0.077054       0.000000
       0.590000       0.077082       0.000000
       0.591000       0.077098       0.000000
       0.592000       0.077126       0.000000
       0.593000       0.077253       0.000000
       0.594000       0.077337       0.000000
       0.595000       0.077372       0.000000
       0.596000       0.077423       0.000000
       0.597000       0.077481       0.000000
       0.598000       0.077544       0.000000
       0.599000       0.077608       0.000000
       0.600000       0.077653       0.000000
       0.601000       0.077702       0.000000
       0.602000       0.077765       0.000000
       0.603000       0.077815       0.000000
       0.604000       0.077842       0.000000
       0.605000       0.077857       0.000000
       0.606000       0.077902       0.000000
       0.607000       0.077961       0.000000
       0.608000       0.078007       0.000000
       0.609000       0.078006       0.000000
       0.610000       0.077980       0.000000
       0.611000       0.077988       0.000000
       0.612000       0.078036       0.000000
       0.613000       0.077998       0.000000
       0.614000       0.077948       0.000000
       0.615000       0.077890       0.000000
       0.616000       0.077824       0.000000
       0.617000       0.077830       0.000000
       0.618000       0.077840       0.000000
       0.619000       0.077823       0.000000
       0.620000       0.077823       0.000000
       0.621000       0.077848       0.000000
       0.622000       0.077904       0.000000
       0.623000       0.078042       0.000000
       0.624000       0.078131       0.000000
       0.625000       0.078191       0.000000
       0.626000       0.078233       0.000000
       0.627000       0.078333       0.000000
       0.628000       0.078439       0.000000
       0.629000       0.078537       0.000000
       0.630000       0.078580       0.000000
       0.631000       0.078656       0.000000
       0.632000       0.078755       0.000000
       0.633000       0.078865       0.000000
       0.634000       0.078913       0.000000
       0.635000       0.078933       0.000000
       0.636000       0.078937       0.000000
       0.637000       0.078998       0.000000
       0.638000       0.079033       0.000000
       0.639000       0.079028       0.000000
       0.640000       0.078933       0.000000
       0.641000       0.078920       0.000000
       0.642000       0.078933       0.000000
       0.643000       0.078893       0.000000
       0.644000       0.078799       0.000000
       0.645000       0.078719       0.000000
       0.646000       0.078679       0.000000
       0.647000       0.078721       0.000000
       0.648000       0.078675       0.000000
       0.649000       0.078571       0.000000
       0.650000       0.078546       0.000000
       0.651000       0.078592       0.000000
       0.652000       0.078642       0.000000
       0.653000       0.078636       0.000000
       0.654000       0.078584       0.000000
       0.655000       0.078574       0.000000
       0.656000       0.078624       0.000000
       0.657000       0.078604       0.000000
       0.658000       0.078498       0.000000
       0.659000       0.078366       0.000000
       0.660000       0.078305       0.000000
       0.661000       0.078249       0.000000
       0.662000       0.078150       0.000000
       0.663000       0.077969       0.000000
       0.664000       0.077838       0.000000
       0.665000       0.077766       0.000000
       0.666000       0.077736       0.000000
       0.667000       0.077614       0.000000
       0.668000       0.077535       0.000000
       0.669000       0.077487       0.000000
       0.670000       0.077465       0.000000
       0.671000       0.077494       0.000000
       0.672000       0.077506       0.000000
       0.673000       0.077484       0.000000
       0.674000       0.077545       0.000000
       0.675000       0.077620       0.000000
       0.676000       0.077696       0.000000
       0.677000       0.077733       0.000000
       0.678000       0.077835       0.000000
       0.679000       0.077971       0.000000
       0.680000       0.078135       0.000000
       0.681000       0.078364       0.000000
       0.682000       0.078584       0.000000
       0.683000       0.078801       0.000000
       0.684000       0.079187       0.000000
       0.685000       0.079611       0.000000
       0.686000       0.080095       0.000000
       0.687000       0.080715       0.000000
       0.688000       0.081382       0.000000
       0.689000       0.082153       0.000000
       0.690000       0.083038       0.000000
       0.691000       0.083988       0.000000
       0.692000       0.084988       0.000000
       0.693000       0.086048       0.000000
       0.694000       0.087192       0.000000
       0.695000       0.088492       0.000000
       0.696000       0.089820       0.000000
       0.697000       0.091078       0.000000
       0.698000       0.092412       0.000000
       0.699000       0.093814       0.000000
       0.700000       0.095290       0.000000
       0.701000       0.096723       0.000000
       0.702000       0.098141       0.000000
       0.703000       0.099537       0.000000
       0.704000       0.100927       0.000000
       0.705000       0.102309       0.000000
       0.706000       0.103660       0.000000
       0.707000       0.104961       0.000000
       0.708000       0.106294       0.000000
       0.709000       0.107638       0.000000
       0.710000       0.108984       0.000000
       0.711000       0.110282       0.000000
       0.712000       0.111572       0.000000
       0.713000       0.112882       0.000000
       0.714000       0.114251       0.000000
       0.715000       0.115561       0.000000
       0.716000       0.116850       0.000000
       0.717000       0.118184       0.000000
       0.718000       0.119613       0.000000
       0.719000       0.121071       0.000000
       0.720000       0.122459       0.000000
       0.721000       0.123693       0.000000
       0.722000       0.124862       0.000000
       0.723000       0.126048       0.000000
       0.724000       0.127397       0.000000
       0.725000       0.128657       0.000000
       0.726000       0.129852       0.000000
       0.727000       0.130976       0.000000
       0.728000       0.132132       0.000000
       0.729000       0.133270       0.000000
       0.730000       0.134359       0.000000
       0.731000       0.135329       0.000000
       0.732000       0.136278       0.000000
       0.733000       0.137210       0.000000
       0.734000       0.138144       0.000000
       0.735000       0.139008       0.000000
       0.736000       0.139834       0.000000
       0.737000       0.140636       0.000000
       0.738000       0.141473       0.000000
       0.739000       0.142229       0.000000
       0.740000       0.142917       0.000000
       0.741000       0.143513       0.000000
       0.742000       0.144167       0.000000
       0.743000       0.144813       0.000000
       0.744000       0.145436       0.000000
       0.745000       0.145935       0.000000
       0.746000       0.146393       0.000000
       0.747000       0.146847       0.000000
       0.748000       0.147404       0.000000
       0.749000       0.147813       0.000000
       0.750000       0.148186       0.000000
       0.751000       0.148570       0.000000
       0.752000       0.148992       0.000000
       0.753000       0.149385       0.000000
       0.754000       0.149733       0.000000
       0.755000       0.149973       0.000000
       0.756000       0.150289       0.000000
       0.757000       0.150631       0.000000
       0.758000       0.150941       0.000000
       0.759000      -1.23e34       -1.23e34 
       0.760000      -1.23e34       -1.23e34 
       0.761000      -1.23e34       -1.23e34 
       0.762000      -1.23e34       -1.23e34 
       0.763000       0.152650       0.000000
       0.764000       0.152752       0.000000
       0.765000       0.152879       0.000000
       0.766000       0.153105       0.000000
       0.767000       0.153321       0.000000
       0.768000       0.153490       0.000000
       0.769000       0.153683       0.000000
       0.770000       0.153878       0.000000
       0.771000       0.154078       0.000000
       0.772000       0.154289       0.000000
       0.773000       0.154468       0.000000
       0.774000       0.154644       0.000000
       0.775000       0.154872       0.000000
       0.776000       0.155063       0.000000
       0.777000       0.155262       0.000000
       0.778000       0.155496       0.000000
       0.779000       0.155665       0.000000
       0.780000       0.155867       0.000000
       0.781000       0.156098       0.000000
       0.782000       0.156300       0.000000
       0.783000       0.156506       0.000000
       0.784000       0.156704       0.000000
       0.785000       0.156877       0.000000
       0.786000       0.157098       0.000000
       0.787000       0.157319       0.000000
       0.788000       0.157528       0.000000
       0.789000       0.157696       0.000000
       0.790000       0.157875       0.000000
       0.791000       0.158067       0.000000
       0.792000       0.158278       0.000000
       0.793000       0.158484       0.000000
       0.794000       0.158658       0.000000
       0.795000       0.158774       0.000000
       0.796000       0.159040       0.000000
       0.797000       0.159270       0.000000
       0.798000       0.159450       0.000000
       0.799000       0.159606       0.000000
       0.800000       0.159767       0.000000
       0.801000       0.159957       0.000000
       0.802000       0.160222       0.000000
