USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Rangeland L04-075A S00% G49% W1R1Fa AREF
copy of spd0419 r 769                                       
       0.350000      -1.23e34       -1.23e34 
       0.351000      -1.23e34       -1.23e34 
       0.352000      -1.23e34       -1.23e34 
       0.353000      -1.23e34       -1.23e34 
       0.354000      -1.23e34       -1.23e34 
       0.355000      -1.23e34       -1.23e34 
       0.356000       0.032569       0.000000
       0.357000       0.032575       0.000000
       0.358000       0.032514       0.000000
       0.359000       0.032691       0.000000
       0.360000       0.032799       0.000000
       0.361000       0.032870       0.000000
       0.362000       0.032916       0.000000
       0.363000       0.033046       0.000000
       0.364000       0.033195       0.000000
       0.365000       0.033355       0.000000
       0.366000       0.033510       0.000000
       0.367000       0.033790       0.000000
       0.368000       0.034071       0.000000
       0.369000       0.034107       0.000000
       0.370000       0.034131       0.000000
       0.371000       0.034193       0.000000
       0.372000       0.034319       0.000000
       0.373000       0.034506       0.000000
       0.374000       0.034595       0.000000
       0.375000       0.034633       0.000000
       0.376000       0.034917       0.000000
       0.377000       0.035145       0.000000
       0.378000       0.035326       0.000000
       0.379000       0.035441       0.000000
       0.380000       0.035646       0.000000
       0.381000       0.035784       0.000000
       0.382000       0.035819       0.000000
       0.383000       0.036248       0.000000
       0.384000       0.036470       0.000000
       0.385000       0.036616       0.000000
       0.386000       0.037012       0.000000
       0.387000       0.037397       0.000000
       0.388000       0.037761       0.000000
       0.389000       0.038082       0.000000
       0.390000       0.038292       0.000000
       0.391000       0.038511       0.000000
       0.392000       0.038759       0.000000
       0.393000       0.039142       0.000000
       0.394000       0.039365       0.000000
       0.395000       0.039614       0.000000
       0.396000       0.040139       0.000000
       0.397000       0.040481       0.000000
       0.398000       0.040774       0.000000
       0.399000       0.041054       0.000000
       0.400000       0.041156       0.000000
       0.401000       0.041444       0.000000
       0.402000       0.041837       0.000000
       0.403000       0.042114       0.000000
       0.404000       0.042402       0.000000
       0.405000       0.042720       0.000000
       0.406000       0.043100       0.000000
       0.407000       0.043504       0.000000
       0.408000       0.043946       0.000000
       0.409000       0.044410       0.000000
       0.410000       0.044561       0.000000
       0.411000       0.044984       0.000000
       0.412000       0.045499       0.000000
       0.413000       0.045809       0.000000
       0.414000       0.046213       0.000000
       0.415000       0.046625       0.000000
       0.416000       0.047016       0.000000
       0.417000       0.047401       0.000000
       0.418000       0.047828       0.000000
       0.419000       0.048268       0.000000
       0.420000       0.048533       0.000000
       0.421000       0.048963       0.000000
       0.422000       0.049415       0.000000
       0.423000       0.049742       0.000000
       0.424000       0.050164       0.000000
       0.425000       0.050567       0.000000
       0.426000       0.050925       0.000000
       0.427000       0.051308       0.000000
       0.428000       0.051712       0.000000
       0.429000       0.052118       0.000000
       0.430000       0.052492       0.000000
       0.431000       0.052916       0.000000
       0.432000       0.053332       0.000000
       0.433000       0.053712       0.000000
       0.434000       0.054108       0.000000
       0.435000       0.054478       0.000000
       0.436000       0.054827       0.000000
       0.437000       0.055212       0.000000
       0.438000       0.055545       0.000000
       0.439000       0.055857       0.000000
       0.440000       0.056193       0.000000
       0.441000       0.056519       0.000000
       0.442000       0.056845       0.000000
       0.443000       0.057178       0.000000
       0.444000       0.057488       0.000000
       0.445000       0.057786       0.000000
       0.446000       0.058083       0.000000
       0.447000       0.058444       0.000000
       0.448000       0.058733       0.000000
       0.449000       0.059005       0.000000
       0.450000       0.059306       0.000000
       0.451000       0.059612       0.000000
       0.452000       0.059898       0.000000
       0.453000       0.060161       0.000000
       0.454000       0.060482       0.000000
       0.455000       0.060808       0.000000
       0.456000       0.061139       0.000000
       0.457000       0.061469       0.000000
       0.458000       0.061747       0.000000
       0.459000       0.062008       0.000000
       0.460000       0.062267       0.000000
       0.461000       0.062561       0.000000
       0.462000       0.062816       0.000000
       0.463000       0.063038       0.000000
       0.464000       0.063295       0.000000
       0.465000       0.063566       0.000000
       0.466000       0.063843       0.000000
       0.467000       0.064116       0.000000
       0.468000       0.064369       0.000000
       0.469000       0.064614       0.000000
       0.470000       0.064853       0.000000
       0.471000       0.065157       0.000000
       0.472000       0.065418       0.000000
       0.473000       0.065658       0.000000
       0.474000       0.065945       0.000000
       0.475000       0.066222       0.000000
       0.476000       0.066495       0.000000
       0.477000       0.066770       0.000000
       0.478000       0.066986       0.000000
       0.479000       0.067218       0.000000
       0.480000       0.067471       0.000000
       0.481000       0.067729       0.000000
       0.482000       0.067949       0.000000
       0.483000       0.068163       0.000000
       0.484000       0.068422       0.000000
       0.485000       0.068683       0.000000
       0.486000       0.068945       0.000000
       0.487000       0.069202       0.000000
       0.488000       0.069458       0.000000
       0.489000       0.069730       0.000000
       0.490000       0.070015       0.000000
       0.491000       0.070292       0.000000
       0.492000       0.070545       0.000000
       0.493000       0.070795       0.000000
       0.494000       0.071068       0.000000
       0.495000       0.071384       0.000000
       0.496000       0.071672       0.000000
       0.497000       0.071920       0.000000
       0.498000       0.072212       0.000000
       0.499000       0.072509       0.000000
       0.500000       0.072817       0.000000
       0.501000       0.073159       0.000000
       0.502000       0.073512       0.000000
       0.503000       0.073869       0.000000
       0.504000       0.074228       0.000000
       0.505000       0.074653       0.000000
       0.506000       0.075023       0.000000
       0.507000       0.075356       0.000000
       0.508000       0.075820       0.000000
       0.509000       0.076199       0.000000
       0.510000       0.076573       0.000000
       0.511000       0.077042       0.000000
       0.512000       0.077511       0.000000
       0.513000       0.077982       0.000000
       0.514000       0.078455       0.000000
       0.515000       0.078957       0.000000
       0.516000       0.079465       0.000000
       0.517000       0.079999       0.000000
       0.518000       0.080632       0.000000
       0.519000       0.081217       0.000000
       0.520000       0.081813       0.000000
       0.521000       0.082467       0.000000
       0.522000       0.083059       0.000000
       0.523000       0.083654       0.000000
       0.524000       0.084264       0.000000
       0.525000       0.084830       0.000000
       0.526000       0.085415       0.000000
       0.527000       0.086011       0.000000
       0.528000       0.086620       0.000000
       0.529000       0.087153       0.000000
       0.530000       0.087672       0.000000
       0.531000       0.088195       0.000000
       0.532000       0.088658       0.000000
       0.533000       0.089147       0.000000
       0.534000       0.089645       0.000000
       0.535000       0.090048       0.000000
       0.536000       0.090499       0.000000
       0.537000       0.090940       0.000000
       0.538000       0.091316       0.000000
       0.539000       0.091670       0.000000
       0.540000       0.092053       0.000000
       0.541000       0.092472       0.000000
       0.542000       0.092821       0.000000
       0.543000       0.093204       0.000000
       0.544000       0.093586       0.000000
       0.545000       0.093889       0.000000
       0.546000       0.094242       0.000000
       0.547000       0.094591       0.000000
       0.548000       0.094906       0.000000
       0.549000       0.095237       0.000000
       0.550000       0.095563       0.000000
       0.551000       0.095879       0.000000
       0.552000       0.096167       0.000000
       0.553000       0.096461       0.000000
       0.554000       0.096746       0.000000
       0.555000       0.097000       0.000000
       0.556000       0.097247       0.000000
       0.557000       0.097459       0.000000
       0.558000       0.097623       0.000000
       0.559000       0.097823       0.000000
       0.560000       0.098000       0.000000
       0.561000       0.098150       0.000000
       0.562000       0.098263       0.000000
       0.563000       0.098390       0.000000
       0.564000       0.098518       0.000000
       0.565000       0.098638       0.000000
       0.566000       0.098712       0.000000
       0.567000       0.098774       0.000000
       0.568000       0.098826       0.000000
       0.569000       0.098858       0.000000
       0.570000       0.098867       0.000000
       0.571000       0.098867       0.000000
       0.572000       0.098886       0.000000
       0.573000       0.098882       0.000000
       0.574000       0.098885       0.000000
       0.575000       0.098908       0.000000
       0.576000       0.098944       0.000000
       0.577000       0.098965       0.000000
       0.578000       0.098976       0.000000
       0.579000       0.099011       0.000000
       0.580000       0.099089       0.000000
       0.581000       0.099171       0.000000
       0.582000       0.099218       0.000000
       0.583000       0.099293       0.000000
       0.584000       0.099390       0.000000
       0.585000       0.099512       0.000000
       0.586000       0.099597       0.000000
       0.587000       0.099701       0.000000
       0.588000       0.099820       0.000000
       0.589000       0.099942       0.000000
       0.590000       0.100067       0.000000
       0.591000       0.100195       0.000000
       0.592000       0.100323       0.000000
       0.593000       0.100428       0.000000
       0.594000       0.100556       0.000000
       0.595000       0.100709       0.000000
       0.596000       0.100852       0.000000
       0.597000       0.100972       0.000000
       0.598000       0.101085       0.000000
       0.599000       0.101208       0.000000
       0.600000       0.101359       0.000000
       0.601000       0.101511       0.000000
       0.602000       0.101653       0.000000
       0.603000       0.101750       0.000000
       0.604000       0.101873       0.000000
       0.605000       0.102012       0.000000
       0.606000       0.102123       0.000000
       0.607000       0.102215       0.000000
       0.608000       0.102292       0.000000
       0.609000       0.102351       0.000000
       0.610000       0.102449       0.000000
       0.611000       0.102552       0.000000
       0.612000       0.102650       0.000000
       0.613000       0.102688       0.000000
       0.614000       0.102753       0.000000
       0.615000       0.102822       0.000000
       0.616000       0.102850       0.000000
       0.617000       0.102904       0.000000
       0.618000       0.102968       0.000000
       0.619000       0.103033       0.000000
       0.620000       0.103138       0.000000
       0.621000       0.103217       0.000000
       0.622000       0.103287       0.000000
       0.623000       0.103463       0.000000
       0.624000       0.103644       0.000000
       0.625000       0.103806       0.000000
       0.626000       0.103907       0.000000
       0.627000       0.104081       0.000000
       0.628000       0.104261       0.000000
       0.629000       0.104432       0.000000
       0.630000       0.104640       0.000000
       0.631000       0.104792       0.000000
       0.632000       0.104917       0.000000
       0.633000       0.105109       0.000000
       0.634000       0.105249       0.000000
       0.635000       0.105365       0.000000
       0.636000       0.105467       0.000000
       0.637000       0.105528       0.000000
       0.638000       0.105561       0.000000
       0.639000       0.105574       0.000000
       0.640000       0.105661       0.000000
       0.641000       0.105638       0.000000
       0.642000       0.105581       0.000000
       0.643000       0.105596       0.000000
       0.644000       0.105568       0.000000
       0.645000       0.105536       0.000000
       0.646000       0.105510       0.000000
       0.647000       0.105473       0.000000
       0.648000       0.105458       0.000000
       0.649000       0.105462       0.000000
       0.650000       0.105485       0.000000
       0.651000       0.105485       0.000000
       0.652000       0.105517       0.000000
       0.653000       0.105646       0.000000
       0.654000       0.105665       0.000000
       0.655000       0.105699       0.000000
       0.656000       0.105770       0.000000
       0.657000       0.105781       0.000000
       0.658000       0.105789       0.000000
       0.659000       0.105785       0.000000
       0.660000       0.105742       0.000000
       0.661000       0.105671       0.000000
       0.662000       0.105612       0.000000
       0.663000       0.105587       0.000000
       0.664000       0.105544       0.000000
       0.665000       0.105497       0.000000
       0.666000       0.105447       0.000000
       0.667000       0.105374       0.000000
       0.668000       0.105389       0.000000
       0.669000       0.105422       0.000000
       0.670000       0.105387       0.000000
       0.671000       0.105442       0.000000
       0.672000       0.105528       0.000000
       0.673000       0.105632       0.000000
       0.674000       0.105741       0.000000
       0.675000       0.105854       0.000000
       0.676000       0.105976       0.000000
       0.677000       0.106133       0.000000
       0.678000       0.106295       0.000000
       0.679000       0.106465       0.000000
       0.680000       0.106649       0.000000
       0.681000       0.106928       0.000000
       0.682000       0.107224       0.000000
       0.683000       0.107539       0.000000
       0.684000       0.107969       0.000000
       0.685000       0.108431       0.000000
       0.686000       0.108951       0.000000
       0.687000       0.109625       0.000000
       0.688000       0.110412       0.000000
       0.689000       0.111260       0.000000
       0.690000       0.112131       0.000000
       0.691000       0.113208       0.000000
       0.692000       0.114344       0.000000
       0.693000       0.115545       0.000000
       0.694000       0.116859       0.000000
       0.695000       0.118286       0.000000
       0.696000       0.119775       0.000000
       0.697000       0.121311       0.000000
       0.698000       0.122886       0.000000
       0.699000       0.124518       0.000000
       0.700000       0.126217       0.000000
       0.701000       0.127876       0.000000
       0.702000       0.129573       0.000000
       0.703000       0.131263       0.000000
       0.704000       0.132864       0.000000
       0.705000       0.134429       0.000000
       0.706000       0.135984       0.000000
       0.707000       0.137545       0.000000
       0.708000       0.139013       0.000000
       0.709000       0.140498       0.000000
       0.710000       0.141998       0.000000
       0.711000       0.143428       0.000000
       0.712000       0.144897       0.000000
       0.713000       0.146380       0.000000
       0.714000       0.147837       0.000000
       0.715000       0.149278       0.000000
       0.716000       0.150714       0.000000
       0.717000       0.152204       0.000000
       0.718000       0.153653       0.000000
       0.719000       0.155217       0.000000
       0.720000       0.156784       0.000000
       0.721000       0.158190       0.000000
       0.722000       0.159536       0.000000
       0.723000       0.160879       0.000000
       0.724000       0.162345       0.000000
       0.725000       0.163719       0.000000
       0.726000       0.165051       0.000000
       0.727000       0.166332       0.000000
       0.728000       0.167583       0.000000
       0.729000       0.168825       0.000000
       0.730000       0.170031       0.000000
       0.731000       0.171143       0.000000
       0.732000       0.172246       0.000000
       0.733000       0.173321       0.000000
       0.734000       0.174378       0.000000
       0.735000       0.175326       0.000000
       0.736000       0.176256       0.000000
       0.737000       0.177168       0.000000
       0.738000       0.178031       0.000000
       0.739000       0.178884       0.000000
       0.740000       0.179696       0.000000
       0.741000       0.180409       0.000000
       0.742000       0.181113       0.000000
       0.743000       0.181804       0.000000
       0.744000       0.182479       0.000000
       0.745000       0.183063       0.000000
       0.746000       0.183632       0.000000
       0.747000       0.184178       0.000000
       0.748000       0.184668       0.000000
       0.749000       0.185178       0.000000
       0.750000       0.185652       0.000000
       0.751000       0.186041       0.000000
       0.752000       0.186485       0.000000
       0.753000       0.186898       0.000000
       0.754000       0.187273       0.000000
       0.755000       0.187631       0.000000
       0.756000       0.187958       0.000000
       0.757000       0.188271       0.000000
       0.758000       0.188600       0.000000
       0.759000      -1.23e34       -1.23e34 
       0.760000      -1.23e34       -1.23e34 
       0.761000      -1.23e34       -1.23e34 
       0.762000      -1.23e34       -1.23e34 
       0.763000       0.190182       0.000000
       0.764000       0.190351       0.000000
       0.765000       0.190580       0.000000
       0.766000       0.190807       0.000000
       0.767000       0.191036       0.000000
       0.768000       0.191296       0.000000
       0.769000       0.191510       0.000000
       0.770000       0.191738       0.000000
       0.771000       0.191987       0.000000
       0.772000       0.192180       0.000000
       0.773000       0.192421       0.000000
       0.774000       0.192682       0.000000
       0.775000       0.192908       0.000000
       0.776000       0.193073       0.000000
       0.777000       0.193267       0.000000
       0.778000       0.193537       0.000000
       0.779000       0.193710       0.000000
       0.780000       0.193897       0.000000
       0.781000       0.194108       0.000000
       0.782000       0.194356       0.000000
       0.783000       0.194589       0.000000
       0.784000       0.194801       0.000000
       0.785000       0.194971       0.000000
       0.786000       0.195169       0.000000
       0.787000       0.195378       0.000000
       0.788000       0.195598       0.000000
       0.789000       0.195825       0.000000
       0.790000       0.196050       0.000000
       0.791000       0.196271       0.000000
       0.792000       0.196477       0.000000
       0.793000       0.196725       0.000000
       0.794000       0.196949       0.000000
       0.795000       0.197096       0.000000
       0.796000       0.197325       0.000000
       0.797000       0.197548       0.000000
       0.798000       0.197754       0.000000
       0.799000       0.197936       0.000000
       0.800000       0.198115       0.000000
       0.801000       0.198306       0.000000
       0.802000       0.198538       0.000000
