USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Sage_Brush IH91-1B           W1R1Ba AREF
copy of splib05a r 11826                                    
       0.205100      -1.23e34        0.000000
       0.213100      -1.23e34        0.000000
       0.221100      -1.23e34        0.000000
       0.229100      -1.23e34        0.000000
       0.236100      -1.23e34        0.000000
       0.242100      -1.23e34        0.000000
       0.248100      -1.23e34        0.000000
       0.253600      -1.23e34        0.000000
       0.258600      -1.23e34        0.000000
       0.263600      -1.23e34        0.000000
       0.268600      -1.23e34        0.000000
       0.273100      -1.23e34        0.000000
       0.277100      -1.23e34        0.000000
       0.281100      -1.23e34        0.000000
       0.285100      -1.23e34        0.000000
       0.289100      -1.23e34        0.000000
       0.293100      -1.23e34        0.000000
       0.297100      -1.23e34        0.000000
       0.301100      -1.23e34        0.000000
       0.305100      -1.23e34        0.000000
       0.309100      -1.23e34        0.000000
       0.313100      -1.23e34        0.000000
       0.317100      -1.23e34        0.000000
       0.321100      -1.23e34        0.000000
       0.325100      -1.23e34        0.000000
       0.329100      -1.23e34        0.000000
       0.333100      -1.23e34        0.000000
       0.337100      -1.23e34        0.000000
       0.341100      -1.23e34        0.000000
       0.345100      -1.23e34        0.000000
       0.349100      -1.23e34        0.000000
       0.353100       0.066804       0.000174
       0.357100       0.067739       0.000250
       0.360600       0.070172       0.000251
       0.363600       0.071147       0.000229
       0.366600       0.072772       0.000194
       0.369600       0.074221       0.000218
       0.372600       0.076507       0.000202
       0.375600       0.078838       0.000209
       0.378600       0.080910       0.000197
       0.381100       0.083486       0.000213
       0.383100       0.083918       0.000207
       0.385100       0.087196       0.000221
       0.387100       0.087838       0.000190
       0.389100       0.089146       0.000237
       0.391100       0.091869       0.000194
       0.393100       0.094001       0.000195
       0.395100       0.095145       0.000312
       0.397100       0.096778       0.000335
       0.399100       0.097997       0.000216
       0.401100       0.100224       0.000193
       0.403100       0.101189       0.000224
       0.405100       0.103335       0.000182
       0.407100       0.105034       0.000185
       0.409100       0.106539       0.000162
       0.411100       0.108049       0.000274
       0.412800       0.109625       0.000174
       0.415800       0.111824       0.000227
       0.418800       0.115023       0.000295
       0.421800       0.118218       0.000179
       0.424800       0.121445       0.000198
       0.427800       0.125266       0.000167
       0.430800       0.129199       0.000178
       0.433800       0.133695       0.000184
       0.436800       0.137982       0.000292
       0.439800       0.142109       0.000188
       0.442800       0.146843       0.000170
       0.445800       0.150914       0.000213
       0.448800       0.154420       0.000253
       0.451300       0.157559       0.000345
       0.453300       0.159123       0.000246
       0.455300       0.162786       0.000305
       0.457300       0.163419       0.000285
       0.459300       0.165384       0.000355
       0.461300       0.168000       0.000230
       0.463300       0.169069       0.000216
       0.465300       0.170946       0.000240
       0.467300       0.172427       0.000207
       0.469300       0.173729       0.000255
       0.471300       0.174586       0.000334
       0.473300       0.175397       0.000261
       0.475300       0.176880       0.000234
       0.477300       0.177279       0.000260
       0.479300       0.179254       0.000235
       0.481300       0.179756       0.000266
       0.483300       0.181765       0.000232
       0.485300       0.181344       0.000230
       0.487300       0.182124       0.000226
       0.489300       0.184383       0.000221
       0.491300       0.184339       0.000238
       0.493300       0.185387       0.000262
       0.495300       0.186634       0.000222
       0.497300       0.187621       0.000237
       0.499300       0.189103       0.000272
       0.501300       0.190832       0.000142
       0.503300       0.191753       0.000165
       0.505300       0.193682       0.000143
       0.507300       0.195323       0.000165
       0.509300       0.197470       0.000133
       0.511300       0.199579       0.000182
       0.513300       0.202945       0.000153
       0.515300       0.205113       0.000160
       0.517300       0.208083       0.000146
       0.519300       0.211263       0.000160
       0.521300       0.214274       0.000150
       0.523300       0.217564       0.000151
       0.525300       0.221236       0.000152
       0.527300       0.224318       0.000155
       0.529300       0.227000       0.000204
       0.531300       0.230357       0.000146
       0.533300       0.232631       0.000187
       0.535300       0.235258       0.000147
       0.537300       0.237208       0.000185
       0.539300       0.239366       0.000191
       0.541300       0.240836       0.000139
       0.543300       0.242951       0.000170
       0.545300       0.244089       0.000225
       0.547300       0.246506       0.000251
       0.549300       0.246377       0.000324
       0.551300       0.248823       0.000211
       0.553300       0.250476       0.000229
       0.555300       0.250062       0.000244
       0.557300       0.251292       0.000301
       0.559300       0.251140       0.000344
       0.561300       0.249198       0.000207
       0.563300       0.248328       0.000225
       0.565300       0.249384       0.000252
       0.567300       0.247994       0.000267
       0.569300       0.247210       0.000274
       0.571300       0.247452       0.000143
       0.573300       0.246542       0.000143
       0.575300       0.245667       0.000149
       0.577300       0.245539       0.000152
       0.579300       0.245862       0.000193
       0.581300       0.244992       0.000168
       0.583300       0.244374       0.000194
       0.585300       0.244734       0.000181
       0.587300       0.244134       0.000226
       0.589300       0.244454       0.000272
       0.591300       0.243879       0.000193
       0.593300       0.244497       0.000180
       0.595300       0.245069       0.000171
       0.597300       0.245046       0.000167
       0.599300       0.245351       0.000187
       0.601100       0.245827       0.000228
       0.602700       0.245967       0.000188
       0.604300       0.246412       0.000196
       0.605900       0.246044       0.000190
       0.607500       0.245376       0.000163
       0.609100       0.245168       0.000158
       0.610700       0.245059       0.000148
       0.612300       0.244948       0.000201
       0.613900       0.244580       0.000162
       0.615500       0.244484       0.000180
       0.617100       0.243824       0.000170
       0.618700       0.244076       0.000189
       0.620300       0.244103       0.000180
       0.621900       0.244588       0.000167
       0.623500       0.244067       0.000258
       0.625100       0.244574       0.000186
       0.626700       0.244673       0.000203
       0.628300       0.245339       0.000167
       0.629900       0.245770       0.000145
       0.631700       0.245959       0.000155
       0.633700       0.247199       0.000164
       0.635700       0.246644       0.000156
       0.637700       0.246776       0.000159
       0.639700       0.246567       0.000147
       0.641700       0.246544       0.000162
       0.643700       0.245730       0.000191
       0.645700       0.245353       0.000152
       0.647700       0.244277       0.000163
       0.649700       0.243026       0.000272
       0.651700       0.242923       0.000234
       0.653700       0.243329       0.000185
       0.655700       0.244078       0.000208
       0.657700       0.242598       0.000189
       0.659700       0.243162       0.000214
       0.661700       0.241118       0.000186
       0.663700       0.240515       0.000220
       0.665700       0.239613       0.000330
       0.667700       0.239040       0.000192
       0.670200       0.239114       0.000181
       0.673200       0.238386       0.000167
       0.676200       0.238632       0.000171
       0.679200       0.239229       0.000198
       0.682200       0.240155       0.000169
       0.685200       0.242509       0.000193
       0.688200       0.247196       0.000189
       0.691200       0.253998       0.000179
       0.694200       0.264487       0.000319
       0.697200       0.277149       0.000331
       0.700200       0.295181       0.000201
       0.702000       0.304309       0.000205
       0.704000       0.315016       0.000276
       0.706000       0.324743       0.000196
       0.708000       0.334998       0.000173
       0.710000       0.346364       0.000192
       0.712000       0.357073       0.000201
       0.714000       0.367225       0.000305
       0.716000       0.379533       0.000192
       0.718000       0.389713       0.000228
       0.720000       0.401939       0.000223
       0.722000       0.414643       0.000166
       0.724000       0.425013       0.000210
       0.726000       0.435697       0.000239
       0.728000       0.446408       0.000257
       0.730000       0.455211       0.000209
       0.732000       0.464540       0.000236
       0.734000       0.472351       0.000327
       0.736000       0.481989       0.000260
       0.738000       0.487342       0.000231
       0.740000       0.494310       0.000278
       0.742000       0.501551       0.000313
       0.744000       0.502434       0.000323
       0.746000       0.508484       0.000268
       0.748000       0.512955       0.000205
       0.750500       0.516212       0.000158
       0.753500       0.521065       0.000211
       0.756500       0.524644       0.000272
       0.759500       0.528715       0.000213
       0.762500       0.530206       0.000209
       0.765500       0.533074       0.000217
       0.768500       0.535345       0.000256
       0.771500       0.539317       0.000247
       0.774500       0.538514       0.000332
       0.777500       0.540637       0.000219
       0.781000       0.543062       0.000232
       0.785000       0.545357       0.000245
       0.789000       0.546776       0.000324
       0.793000       0.549867       0.000285
       0.797000       0.551697       0.000174
       0.801500       0.554491       0.000217
       0.806500       0.555542       0.000251
       0.811500       0.558766       0.000261
       0.816500       0.560941       0.000259
       0.822000       0.560909       0.000256
       0.828000       0.562552       0.000257
       0.835000       0.563967       0.000148
       0.843000       0.566494       0.000247
       0.851000       0.569496       0.000384
       0.859000       0.574971       0.000373
       0.871000       0.575343       0.000366
       0.883000       0.580497       0.000358
       0.894000       0.580951       0.000264
       0.904000       0.579947       0.000323
       0.914000       0.580472       0.000284
       0.924000       0.584213       0.000253
       0.933000       0.585283       0.000287
       0.941000       0.583366       0.000219
       0.949000       0.578490       0.000218
       0.957000       0.579491       0.000360
       0.964000       0.576198       0.000282
       0.970000       0.576055       0.000316
       0.976000       0.574661       0.000257
       0.982000       0.576315       0.000254
       0.988000       0.575014       0.000296
       0.994000       0.576626       0.000244
       1.000000       0.579568       0.000233
       1.006000       0.581611       0.000244
       1.012000       0.583239       0.000314
       1.018000       0.586355       0.000205
       1.023500       0.589538       0.000243
       1.028500       0.593198       0.000257
       1.033500       0.594462       0.000270
       1.038500       0.595603       0.000320
       1.043500       0.598202       0.000226
       1.048500       0.601105       0.000234
       1.053500       0.602089       0.000274
       1.058500       0.604523       0.000272
       1.063500       0.606007       0.000210
       1.068500       0.607926       0.000241
       1.073500       0.608652       0.000267
       1.078500       0.609909       0.000178
       1.083500       0.611349       0.000180
       1.088500       0.611619       0.000233
       1.093500       0.612063       0.000343
       1.098500       0.612732       0.000261
       1.103500       0.612721       0.000249
       1.108500       0.612379       0.000216
       1.113500       0.610582       0.000233
       1.118500       0.611269       0.000240
       1.123500       0.609117       0.000278
       1.128500       0.607661       0.000274
       1.133500       0.603194       0.000192
       1.138500       0.595494       0.000233
       1.143500       0.586150       0.000216
       1.148500       0.578898       0.000198
       1.153500       0.570388       0.000207
       1.158500       0.563387       0.000209
       1.163500       0.557770       0.000219
       1.168500       0.552801       0.000253
       1.173500       0.551974       0.000230
       1.178500       0.548768       0.000234
       1.183500       0.545414       0.000264
       1.188500       0.543132       0.000344
       1.193500       0.542492       0.000248
       1.198500       0.542581       0.000227
       1.203500       0.542706       0.000228
       1.208500       0.543040       0.000328
       1.213500       0.545733       0.000237
       1.218500       0.549546       0.000179
       1.223500       0.554745       0.000239
       1.228500       0.559332       0.000212
       1.233500       0.563424       0.000229
       1.238500       0.567324       0.000168
       1.243500       0.570021       0.000195
       1.248500       0.573115       0.000186
       1.253500       0.574788       0.000273
       1.258500       0.577466       0.000229
       1.263500       0.579143       0.000239
       1.268500       0.580010       0.000196
       1.273500       0.580795       0.000196
       1.278500       0.581245       0.000296
       1.283500       0.582108       0.000190
       1.288500       0.581434       0.000198
       1.293500       0.580133       0.000179
       1.298500       0.580293       0.000182
       1.303500       0.577303       0.000182
       1.308500       0.573450       0.000220
       1.313500       0.569586       0.000202
       1.318500       0.563656       0.000180
       1.323500       0.557176       0.000184
       1.328500       0.548720       0.000193
       1.333500       0.540898       0.000185
       1.338500       0.532574       0.000203
       1.343500       0.523346       0.000212
       1.348500       0.515207       0.000222
       1.353500       0.506624       0.000247
       1.358500       0.499713       0.000173
       1.363500       0.493495       0.000238
       1.368500       0.485888       0.000294
       1.373500       0.475320       0.000260
       1.378500       0.463653       0.000296
       1.383500       0.447743       0.000287
       1.388500       0.426166       0.000354
       1.393500       0.403772       0.000235
       1.398500       0.379218       0.000355
       1.403500       0.358239       0.000285
       1.408500       0.338991       0.000303
       1.413500       0.321527       0.000248
       1.418500       0.312062       0.000286
       1.423500       0.303822       0.000248
       1.428500       0.296300       0.000276
       1.433500       0.291627       0.000232
       1.438500       0.287470       0.000319
       1.443500       0.285797       0.000237
       1.448500       0.284840       0.000236
       1.453500       0.285146       0.000196
       1.458500       0.283338       0.000244
       1.463500       0.285071       0.000305
       1.468500       0.284288       0.000210
       1.473500       0.285423       0.000184
       1.478500       0.288592       0.000350
       1.483500       0.292011       0.000275
       1.488500       0.295656       0.000207
       1.493500       0.301098       0.000349
       1.498500       0.304052       0.000365
       1.503500       0.309284       0.000273
       1.508500       0.313300       0.000250
       1.513500       0.316456       0.000300
       1.518500       0.322871       0.000249
       1.523500       0.325862       0.000326
       1.528500       0.330312       0.000341
       1.534000       0.333019       0.000247
       1.540000       0.336875       0.000313
       1.546000       0.340287       0.000218
       1.552000       0.345198       0.000272
       1.558000       0.349504       0.000245
       1.564000       0.354023       0.000247
       1.570500       0.356780       0.000215
       1.577500       0.361004       0.000247
       1.584500       0.364277       0.000276
       1.591500       0.369155       0.000192
       1.598500       0.371835       0.000198
       1.605500       0.378038       0.000169
       1.612500       0.381899       0.000216
       1.619500       0.383965       0.000189
       1.626500       0.383096       0.000246
       1.633500       0.386122       0.000230
       1.640500       0.391251       0.000192
       1.647500       0.393916       0.000239
       1.654500       0.393355       0.000254
       1.661500       0.394895       0.000265
       1.668500       0.388946       0.000218
       1.676000       0.386386       0.000196
       1.684000       0.380607       0.000265
       1.692000       0.375869       0.000308
       1.700000       0.372513       0.000365
       1.708000       0.368699       0.000330
       1.716000       0.362321       0.000278
       1.724000       0.359829       0.000293
       1.732000       0.357305       0.000368
       1.740000       0.359075       0.000352
       1.748000       0.359646       0.000374
       1.756000       0.358056       0.000376
       1.764000       0.356036       0.000308
       1.772000       0.356402       0.000282
       1.780000       0.356120       0.000354
       1.788000       0.360247       0.000336
       1.796000       0.359094       0.000217
       1.805000       0.361314       0.000189
       1.815000       0.361890       0.000252
       1.825000       0.362663       0.000242
       1.835000       0.364810       0.000211
       1.845000       0.363343       0.000215
       1.855000       0.357520       0.000181
       1.865000       0.341724       0.000204
       1.875000       0.315338       0.000185
       1.885000       0.277974       0.000187
       1.895000       0.240823       0.000207
       1.905000       0.212280       0.000246
       1.915000       0.195718       0.000253
       1.925000       0.186278       0.000169
       1.935000       0.186284       0.000311
       1.945000       0.188144       0.000220
       1.955000       0.193597       0.000255
       1.965000       0.199741       0.000267
       1.975000       0.205841       0.000284
       1.985000       0.211899       0.000286
       1.995000       0.218206       0.000332
       2.005000       0.224704       0.000301
       2.015000       0.228951       0.000335
       2.025000       0.231919       0.000315
       2.035000       0.234613       0.000329
       2.045000       0.234521       0.000276
       2.055000       0.234415       0.000345
       2.065000       0.234997       0.000356
       2.075000       0.233490       0.000320
       2.085000       0.233034       0.000362
       2.095000       0.233773       0.000369
       2.105000       0.232890       0.000356
       2.115000       0.233758       0.000365
       2.125000       0.240375       0.000369
       2.135000       0.244674       0.000351
       2.145000       0.246947       0.000370
       2.155000       0.247212       0.000295
       2.165000       0.251856       0.000253
       2.175000       0.254040       0.000353
       2.185000       0.255782       0.000358
       2.195000       0.259204       0.000366
       2.205000       0.261056       0.000362
       2.215000       0.260615       0.000370
       2.225000       0.259922       0.000372
       2.235000       0.256521       0.000371
       2.245000       0.248370       0.000380
       2.255000       0.240666       0.000381
       2.265000       0.231002       0.000381
       2.275000       0.225248       0.000397
       2.285000       0.218283       0.000409
       2.295000       0.214548       0.000422
       2.305000       0.206722       0.000471
