USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Willow-Sedge-Mix YNP-WS-1    W1R1Ab RTGC
copy of splib05a r 12001                                    
       0.370490      -1.23e34       -1.23e34 
       0.380210      -1.23e34       -1.23e34 
       0.389930      -1.23e34       -1.23e34 
       0.399670      -1.23e34       -1.23e34 
       0.409420       0.051876       0.000000
       0.419190       0.051505       0.000000
       0.428970       0.048947       0.000000
       0.438760       0.047060       0.000000
       0.448550       0.046709       0.000000
       0.458360       0.046849       0.000000
       0.468180       0.046376       0.000000
       0.478000       0.046614       0.000000
       0.487840       0.046624       0.000000
       0.497680       0.047377       0.000000
       0.507530       0.050713       0.000000
       0.517380       0.057841       0.000000
       0.527240       0.069260       0.000000
       0.537100       0.079973       0.000000
       0.546960       0.087345       0.000000
       0.556830       0.091279       0.000000
       0.566710       0.088447       0.000000
       0.576580       0.081288       0.000000
       0.586450       0.077221       0.000000
       0.596330       0.075165       0.000000
       0.606200       0.073762       0.000000
       0.616080       0.069838       0.000000
       0.625950       0.067747       0.000000
       0.635820       0.066838       0.000000
       0.645690       0.062808       0.000000
       0.655560       0.058399       0.000000
       0.665420       0.053571       0.000000
       0.675270      -1.23e34       -1.23e34 
       0.666020      -1.23e34       -1.23e34 
       0.675610       0.050867       0.000000
       0.685190       0.054987       0.000000
       0.694780       0.082991       0.000000
       0.704370       0.135635       0.000000
       0.713960       0.194196       0.000000
       0.723550       0.261018       0.000000
       0.733140       0.324495       0.000000
       0.742730       0.370241       0.000000
       0.752320       0.396049       0.000000
       0.761910      -1.23e34       -1.23e34 
       0.771510       0.415662       0.000000
       0.781100       0.420247       0.000000
       0.790700       0.424044       0.000000
       0.800290       0.428673       0.000000
       0.809890       0.431859       0.000000
       0.819480       0.434359       0.000000
       0.829080       0.439376       0.000000
       0.838680       0.444201       0.000000
       0.848280       0.448741       0.000000
       0.857880       0.453558       0.000000
       0.867480       0.458554       0.000000
       0.877080       0.463460       0.000000
       0.886680       0.466885       0.000000
       0.896290       0.469191       0.000000
       0.905890       0.471773       0.000000
       0.915490       0.474637       0.000000
       0.925100      -1.23e34       -1.23e34 
       0.934700      -1.23e34       -1.23e34 
       0.944310      -1.23e34       -1.23e34 
       0.953920       0.460896       0.000000
       0.963520       0.458529       0.000000
       0.973130       0.460649       0.000000
       0.982740       0.461918       0.000000
       0.992350       0.465877       0.000000
       1.001960       0.471622       0.000000
       1.011570      -1.23e34       -1.23e34 
       1.021190       0.482958       0.000000
       1.030800       0.487627       0.000000
       1.040410       0.493170       0.000000
       1.050030       0.497010       0.000000
       1.059640       0.500738       0.000000
       1.069260       0.503523       0.000000
       1.078870       0.504423       0.000000
       1.088490       0.505001       0.000000
       1.098110       0.503835       0.000000
       1.107730       0.501300       0.000000
       1.117350       0.491435       0.000000
       1.126970      -1.23e34       -1.23e34 
       1.136590      -1.23e34       -1.23e34 
       1.146210      -1.23e34       -1.23e34 
       1.155830      -1.23e34       -1.23e34 
       1.165450       0.437224       0.000000
       1.175080       0.434513       0.000000
       1.184700       0.432073       0.000000
       1.194330       0.429645       0.000000
       1.203950       0.430617       0.000000
       1.213580       0.432981       0.000000
       1.223210       0.438573       0.000000
       1.232830       0.443986       0.000000
       1.242460       0.448369       0.000000
       1.252090       0.451322       0.000000
       1.261720      -1.23e34       -1.23e34 
       1.271350      -1.23e34       -1.23e34 
       1.254250      -1.23e34       -1.23e34 
       1.264220       0.449531       0.000000
       1.274190       0.451254       0.000000
       1.284160       0.451419       0.000000
       1.294130       0.450551       0.000000
       1.304100       0.442019       0.000000
       1.314070       0.430473       0.000000
       1.324040       0.414100       0.000000
       1.334000       0.394146       0.000000
       1.343970      -1.23e34       -1.23e34 
       1.353940      -1.23e34       -1.23e34 
       1.363900      -1.23e34       -1.23e34 
       1.373870      -1.23e34       -1.23e34 
       1.383830      -1.23e34       -1.23e34 
       1.393800      -1.23e34       -1.23e34 
       1.403760      -1.23e34       -1.23e34 
       1.413720      -1.23e34       -1.23e34 
       1.423690       0.145310       0.000000
       1.433650       0.139242       0.000000
       1.443610       0.133387       0.000000
       1.453570       0.130932       0.000000
       1.463530       0.131304       0.000000
       1.473490       0.136071       0.000000
       1.483450       0.142286       0.000000
       1.493410       0.150642       0.000000
       1.503370       0.159640       0.000000
       1.513320       0.170408       0.000000
       1.523280       0.181004       0.000000
       1.533240       0.190726       0.000000
       1.543190       0.200610       0.000000
       1.553150       0.209803       0.000000
       1.563100       0.218496       0.000000
       1.573050       0.225833       0.000000
       1.583010       0.234567       0.000000
       1.592960       0.242032       0.000000
       1.602910       0.249114       0.000000
       1.612860       0.255962       0.000000
       1.622810       0.262808       0.000000
       1.632760       0.267181       0.000000
       1.642710       0.271269       0.000000
       1.652660       0.274360       0.000000
       1.662610       0.275909       0.000000
       1.672560       0.275579       0.000000
       1.682510       0.274926       0.000000
       1.692460       0.271414       0.000000
       1.702400       0.268346       0.000000
       1.712350       0.263563       0.000000
       1.722290       0.259191       0.000000
       1.732240       0.255233       0.000000
       1.742180       0.250895       0.000000
       1.752120       0.245550       0.000000
       1.762070       0.239214       0.000000
       1.772010       0.234104       0.000000
       1.781950       0.231529       0.000000
       1.791890       0.229524       0.000000
       1.801830       0.226928       0.000000
       1.811770       0.216482       0.000000
       1.821710      -1.23e34       -1.23e34 
       1.831650      -1.23e34       -1.23e34 
       1.841590      -1.23e34       -1.23e34 
       1.851530      -1.23e34       -1.23e34 
       1.861470      -1.23e34       -1.23e34 
       1.871400      -1.23e34       -1.23e34 
       1.881340      -1.23e34       -1.23e34 
       1.879130      -1.23e34       -1.23e34 
       1.889180      -1.23e34       -1.23e34 
       1.899230      -1.23e34       -1.23e34 
       1.909280      -1.23e34       -1.23e34 
       1.919320      -1.23e34       -1.23e34 
       1.929370      -1.23e34       -1.23e34 
       1.939410      -1.23e34       -1.23e34 
       1.949440       0.064764       0.000000
       1.959480       0.069518       0.000000
       1.969510       0.067681       0.000000
       1.979540       0.071497       0.000000
       1.989570       0.075223       0.000000
       1.999600      -1.23e34       -1.23e34 
       2.009620      -1.23e34       -1.23e34 
       2.019640      -1.23e34       -1.23e34 
       2.029660       0.091486       0.000000
       2.039670       0.093454       0.000000
       2.049690       0.095427       0.000000
       2.059700       0.098609       0.000000
       2.069700       0.101212       0.000000
       2.079710       0.104195       0.000000
       2.089710       0.108199       0.000000
       2.099710       0.110995       0.000000
       2.109710       0.115042       0.000000
       2.119710       0.117641       0.000000
       2.129700       0.121486       0.000000
       2.139690       0.124744       0.000000
       2.149680       0.127473       0.000000
       2.159660       0.130862       0.000000
       2.169650       0.134488       0.000000
       2.179630       0.135315       0.000000
       2.189610       0.138951       0.000000
       2.199580       0.141510       0.000000
       2.209550       0.143349       0.000000
       2.219520       0.143835       0.000000
       2.229490       0.143559       0.000000
       2.239460       0.139669       0.000000
       2.249420       0.135740       0.000000
       2.259380       0.129691       0.000000
       2.269340       0.123650       0.000000
       2.279300       0.120877       0.000000
       2.289250       0.118486       0.000000
       2.299200       0.112578       0.000000
       2.309150       0.107936       0.000000
       2.319090       0.105145       0.000000
       2.329040       0.102246       0.000000
       2.338980       0.101441       0.000000
       2.348920       0.095850       0.000000
       2.358850       0.092119       0.000000
       2.368780       0.090447       0.000000
       2.378710       0.087282       0.000000
       2.388640       0.084614       0.000000
       2.398570       0.081614       0.000000
       2.408490       0.079790       0.000000
       2.418410       0.074454       0.000000
       2.428330       0.074164       0.000000
       2.438250       0.068612       0.000000
       2.448160       0.063008       0.000000
       2.458070       0.061222       0.000000
       2.467980       0.056758       0.000000
       2.477880       0.059894       0.000000
       2.487790      -1.23e34       -1.23e34 
       2.497690      -1.23e34       -1.23e34 
       2.507590      -1.23e34       -1.23e34 
