
Abbreviation Conventions for Spectral Library Entries

    Full                                Abbreviations

Acetate buffer treatment                Ac-B AcB
Acid treated                            acid trtd
Areal mixture				AMX
Artifact removal try                    adj adj1 adj2 etc
Black                                   blck
Blue insulation                         bluInsul
Blue woven                              blu_wovn
Blue-green                              blugrn
Brown                                   brn
Calibrated                              calib
Chlorophyll                             chl
Clear                                   clr
Clear bluish                            clrbluis
Coarse Grained                          coar
Coated                                  coatd
Constant                                const
Corrigated                              corgted
Dry and brown                           dry&brn
Efflorescent                            efflorescnt
Fibrous                                 fib
Fine grained                            fr fn
Flakes                                  fls 
Fluvial                                 fluv
Glossy white translucent                gloswhtr
Grain                                   gr.
Grain Size                              gs
Gram per liter                          g/l
Green                                   grn
Heavy                                   hv
Heavy liquid separation                 HLsp
High Al                                 hAl
Hydrochloric acid treatment             HCL
Large Grained                           lggr
Medium                                  med
Micron                                  um
Milliter                                ml
Mineral                                 min
Mineral polytype classification         1Md
Mineral polytype classification         2m2
Monzonite                               monz
Needles                                 ndls
Phyllite                                phyl
Playa                                   ply
Poorly crystallized                     pxl
Quartzite                               qtzite
Rhyolite                                rhy
Scaled to beckman reflectance           scaled Bk
Sheet                                   sht
Shifted                                 shft shf shftd
Small Aperature                         sm. ap.
Smectite                                smect smectit 
Stonewall                               Stonewall
Synthetic                               syn
Tailings                                tail
Thin film				THNFLM
Translucent brown                       translbrn
Tunnel                                  Tnl
Tunnel Sludge wet                       TnlSldgWet
Unshifted                               unshf
Vegetation                              veg
Vein                                    vn
Weathered                               weath
Well crystallized                       wxl

for percent mixtures use decimal amount (i.e. 35% should be .35)

Example
An intimate mixture of 1% goethite, 1% jarosite, and quartz (GDS256) would be written as:

gth.01+jar.01+qtz GDS256 IMX 



Mineral Names				abbreviation

acmite					acm
actinolite				act
adularia				adu
albite					alb
allanite				all
almandine				alm
alunite					aln alun
ammonio-alunite				aal
ammonium chloride			ach
ammonio-jarosite			ajr
ammonio-smectite			asm
ammonio-illite/smectite			ais
amphibole				amp, amph, amphibol
analcime				anl
andalusite				and
andesine				ads
andradite				adr
annite					ann
anorthite				anr
anthophyllite				ant
antigorite				atg
arsenopyrite				apy
attapulgite                             attapulg
augite					aug
axinite					axn
azurite					azr

barite					bar
bassinite				bsn
beryl					ber
biotite					bio biot
bloedite				bld
bronzite				brz
brookite				brk
brucite					brc
buddingtonite				bud buddingtnt
butlerite				btl
bytownite				byt

calcite					cal calc calcit
carbon black				cbl
carnallite				car
cassiterite				cas
celestite				cel
celsian					cls
chabazite				chb
chalcedony				cha
chalcopyrite				cpy
chert					che
chlorapatite				cla
chlorite				chl chlor chlorit
chromite				chr
chrysocolla				crs
chrysotile				chr
cinnabar				cin
clinochlore				cli
clinochlore-Fe				clf
clinoptilolite-zeolite			clp
clinozoisite				clz
clintonite				clt
cobaltite				cob
colemanite				col
cookeite				cok
copiapite				cop
coquimbite				coq
cordierite				crd
corrensite				crr
corundum				cor
covellite				cov
cronstedtite				crn
cummingtonite				cum
cuprite					cup

datolite				dat
desert varnish				dvr
diaspore				dia
dickite					dic
diopside				dio
dipyre					dip
dolomite				dol dolo
dumortierite				dum

elbaite					elb
endellite				end
enstatite				ens
epidote					epd epid epidot
epsomite				eps
eugsterite				eug
europium oxide				eur

fassaite				fas
ferrihydrite				fhy
