Mineral(s)	Lacustrine/Marine	Evaporitic / playa	Metamorphic	Hydrothermal	Pedogenic /diagenic /weathering (include secondary coatings)	Igneous (include carbonatites)	Biogenic
actinolite	0	0	1	0	0	1	0
adularia	0	0	0	0	0	0	0
albite	0	0	1	1	0	1	0
aliphatic	0	0	0	0	0	0	0
almandine	0	0	1	0	0	0	0
ammonillsmectite	0	0	0	1	1	0	0
ammonio_jarosite	0	0	0	1	1	0	0
amphibole	0	0	1	0	0	1	0
analcime	0	0	0	1	0	1	0
anorthite	0	0	0	0	0	0	0
antigorite	1	1	1	0	0	0	0
augite	0	0	1	0	0	1	0
axinite	0	0	0	0	0	1	0
azurite	0	0	0	0	1	0	0
beidellite	0	0	0	0	0	0	0
benzene	0	0	0	0	0	0	0
benzene; montmorillonite	0	0	0	0	0	0	0
biotite	0	0	1	0	0	1	0
bronzite	0	0	0	1	0	1	0
brucite	0	0	1	1	1	0	0
buddingtonite	0	0	0	1	0	0	0
butlerite	0	0	0	1	0	0	0
bytownite	0	0	0	0	0	1	0
calcite	1	1	1	1	1	1	1
canallite	0	1	0	0	0	0	0
carbonate	1	1	1	1	1	0	1
chalcedony	1	0	1	1	0	0	0
chalcopyrite	0	0	0	1	0	1	0
chlorite	0	0	1	1	0	0	0
chlorophyll	0	0	0	0	0	0	1
chromite	0	0	0	0	0	1	0
chrysocolla	0	0	0	0	1	0	0
chrysotile	0	0	1	1	0	0	0
cinnabar	0	0	0	1	0	0	0
clinochlore	0	0	1	1	0	0	0
clintonite	0	0	1	1	0	0	0
clintonite	0	0	1	1	1	1	0
colemanite	1	1	0	0	0	0	0
cookeite	0	0	0	0	0	1	0
copiapite	0	0	0	1	1	0	0
coquimbite	0	0	0	0	1	0	0
cronstedtitte	0	0	1	0	0	0	0
cummingtonite	0	0	1	0	0	0	0
cuprite	0	0	0	0	1	0	0
cyaniade	0	0	0	0	0	0	1
datolite	0	0	0	1	0	0	0
diaspore	0	0	0	0	1	0	0
dickite	0	0	0	1	1	0	0
diopside	0	0	1	0	0	1	0
dolomite	1	0	0	1	0	0	0
dry_grass	0	0	0	0	0	0	1
dry_wood	0	0	0	0	0	0	1
dust_WTC	0	1	0	1	0	0	0
elbaite	0	0	0	0	0	1	0
endellite	0	0	0	1	1	0	0
enstatite	0	0	1	0	0	1	0
epidote	0	0	1	0	0	0	0
eugsterite	0	1	0	0	0	0	0
Fe3+	1	0	1	1	1	1	0
ferrihydrite	1	0	0	1	0	0	0
fiberglass	0	0	0	0	0	0	0
gas	0	0	0	0	0	0	0
gibbsite	0	0	0	1	1	0	0
goethite	1	0	0	1	1	0	0
grossular	0	0	1	0	0	0	0
gypsum	0	1	0	1	1	0	0
halloysite	0	0	0	1	0	0	0
hectorite	1	0	0	0	1	0	0
hedenbergite	0	0	1	0	0	0	0
hematite	0	0	0	1	1	0	0
hematite_smallgrain	0	0	0	1	1	0	1
hornblende	0	0	1	0	0	1	0
howlite	0	1	0	0	0	0	0
hydrated_basaltic_glass	0	0	0	0	0	1	0
hydroth_alunite	0	0	0	1	0	0	0
hydroth_pedog_alunite	0	0	0	1	1	0	0
hypersthene	0	0	0	0	0	1	0
illite	0	0	1	1	0	0	0
jadeite	0	0	1	0	0	0	0
jarosite	1	1	0	1	1	0	0
kaolinite		0	0	1	1	0	0
kaolinite	1	0	0	1	1	0	0
kieserite	0	1	0	0	1	0	0
lazurite	0	0	1	0	0	0	0
lepidocrosite	1	0	0	1	1	0	0
lepidolite	0	0	0	1	0	1	0
lizardite	0	0	0	0	0	0	0
maghemite	0	0	1	0	0	0	0
magnesite	0	0	1	1	1	0	0
magnesite; hydromagnesite	0	0	1	1	1	0	1
malachite	0	0	1	0	1	0	0
manganese	0	0	0	0	1	0	1
margarite	0	0	0	0	1	0	0
mascagnite	0	0	0	1	0	0	0
microcline	0	0	0	0	0	1	0
mirabilite	0	1	0	0	0	0	0
montmorillonite	1	0	0	1	1	0	0
muscovite	0	0	1	1	0	1	0
nacrite	0	0	0	1	1	0	0
natrolite	0	0	0	0	0	1	0
neodymium_oxide	0	0	0	0	1	1	0
niter	0	0	0	0	1	0	0
nitrate	0	0	0	0	0	0	0
nitrobenzene	0	0	0	0	0	0	0
nontronite	1	0	0	1	1	0	0
nonyne	0	0	0	0	0	0	0
olivine	0	0	0	0	0	1	0
orthoclase	0	0	0	0	0	1	0
paint	0	0	0	0	0	0	0
palygorskite	1	0	0	0	1	0	0
paragonite	0	0	1	0	0	0	0
pectolite	0	0	0	1	0	0	0
pentene	0	0	0	0	0	0	0
